attestation_id,place_id,source_id,attestation_class,name_original,script,language,name_transliterated,name_normalized,locator_type,locator,source_lon,source_lat,confidence,review_state,normalization_method,reviewer,review_date,last_verified,note
att-0072,plc-pleiades-207145,src-pleiades-gazetteer,textual_only,Gornea,latn,und,,Gornea,section,https://pleiades.stoa.org/places/207145,21.855154,44.680635,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0073,plc-pleiades-207242,src-pleiades-gazetteer,textual_only,Lipova,latn,und,,Lipova,section,https://pleiades.stoa.org/places/207242,21.684316,46.081725,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0074,plc-pleiades-207264,src-pleiades-gazetteer,textual_only,Mănărade,latn,und,,Mănărade,section,https://pleiades.stoa.org/places/207264,23.970139,46.141675,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0075,plc-pleiades-207276,src-pleiades-gazetteer,textual_only,Mercurea,latn,und,,Mercurea,section,https://pleiades.stoa.org/places/207276,23.793973,45.89065,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0076,plc-pleiades-207329,src-pleiades-gazetteer,textual_only,Palatca,latn,und,,Palatca,section,https://pleiades.stoa.org/places/207329,23.988306,46.840774,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0077,plc-pleiades-207354,src-pleiades-gazetteer,textual_only,Pojejena de Sus,latn,und,,Pojejena de Sus,section,https://pleiades.stoa.org/places/207354,21.580472,44.760152,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0078,plc-pleiades-207357,src-pleiades-gazetteer,textual_only,Pons Augusti,latn,und,,Pons Augusti,section,https://pleiades.stoa.org/places/207357,22.518892,45.504578,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0079,plc-pleiades-207366,src-pleiades-gazetteer,textual_only,Prilipăţ,latn,und,,Prilipăţ,section,https://pleiades.stoa.org/places/207366,22.063852,44.931353,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0080,plc-pleiades-207367,src-pleiades-gazetteer,textual_only,Pui,latn,und,,Pui,section,https://pleiades.stoa.org/places/207367,23.092043,45.518158,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0081,plc-pleiades-207372,src-pleiades-gazetteer,textual_only,Răcari,latn,und,,Răcari,section,https://pleiades.stoa.org/places/207372,23.571841,44.514002,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0082,plc-pleiades-207393,src-pleiades-gazetteer,textual_only,Rocşoreni,latn,und,,Rocşoreni,section,https://pleiades.stoa.org/places/207393,23.116614,44.516565,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0083,plc-pleiades-207419,src-pleiades-gazetteer,textual_only,Samum,latn,und,,Samum,section,https://pleiades.stoa.org/places/207419,23.8474695,47.191495,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0084,plc-pleiades-207444,src-pleiades-gazetteer,textual_only,Sînnicolaul Mare,latn,und,,Sînnicolaul Mare,section,https://pleiades.stoa.org/places/207444,20.628316,46.077476,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0085,plc-pleiades-207456,src-pleiades-gazetteer,textual_only,Şoimuşeni,latn,und,,Şoimuşeni,section,https://pleiades.stoa.org/places/207456,23.343711,47.31268,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0086,plc-pleiades-207464,src-pleiades-gazetteer,textual_only,Stănija,latn,und,,Stănija,section,https://pleiades.stoa.org/places/207464,22.943505,46.197859,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0087,plc-pleiades-207556,src-pleiades-gazetteer,textual_only,Vîrţu,latn,und,,Vîrţu,section,https://pleiades.stoa.org/places/207556,23.135888,44.915094,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0088,plc-pleiades-207577,src-pleiades-gazetteer,textual_only,Zăvalu,latn,und,,Zăvalu,section,https://pleiades.stoa.org/places/207577,23.790117,43.809013,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0089,plc-pleiades-216700,src-pleiades-gazetteer,textual_only,Altinum,latn,und,,Altinum,section,https://pleiades.stoa.org/places/216700,27.692895999999998,44.1873315,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0090,plc-pleiades-216712,src-pleiades-gazetteer,textual_only,Arubium,latn,und,,Arubium,section,https://pleiades.stoa.org/places/216712,28.132517862291294,45.246218728966525,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0091,plc-pleiades-216724,src-pleiades-gazetteer,textual_only,Babadag,latn,und,,Babadag,section,https://pleiades.stoa.org/places/216724,28.717592000000003,44.891249,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0092,plc-pleiades-216727,src-pleiades-gazetteer,textual_only,Barboşi,latn,und,,Barboşi,section,https://pleiades.stoa.org/places/216727,27.989563678558675,45.40489098528261,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0093,plc-pleiades-216737,src-pleiades-gazetteer,textual_only,Brîncoveneşti,latn,und,,Brîncoveneşti,section,https://pleiades.stoa.org/places/216737,24.766533,46.866293,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0094,plc-pleiades-216740,src-pleiades-gazetteer,textual_only,Bugeac,latn,und,,Bugeac,section,https://pleiades.stoa.org/places/216740,27.431237,44.098073,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0095,plc-pleiades-216745,src-pleiades-gazetteer,textual_only,Călugăreni,latn,und,,Călugăreni,section,https://pleiades.stoa.org/places/216745,24.877312,46.628977,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0096,plc-pleiades-216755,src-pleiades-gazetteer,textual_only,Castra Traiana,latn,und,,Castra Traiana,section,https://pleiades.stoa.org/places/216755,24.37711,45.20912,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0097,plc-pleiades-216771,src-pleiades-gazetteer,textual_only,Cincşor,latn,und,,Cincşor,section,https://pleiades.stoa.org/places/216771,24.833187,45.837593,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0098,plc-pleiades-216772,src-pleiades-gazetteer,textual_only,Cîrlomăneşti,latn,und,,Cîrlomăneşti,section,https://pleiades.stoa.org/places/216772,26.263876,45.448538,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0099,plc-pleiades-216773,src-pleiades-gazetteer,textual_only,Cochirleni,latn,und,,Cochirleni,section,https://pleiades.stoa.org/places/216773,27.999023,44.278893,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0100,plc-pleiades-216779,src-pleiades-gazetteer,textual_only,Cristeşti,latn,und,,Cristeşti,section,https://pleiades.stoa.org/places/216779,24.483571,46.499981,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0101,plc-pleiades-216780,src-pleiades-gazetteer,textual_only,Crîmpoaia/Ghioca,latn,und,,Crîmpoaia/Ghioca,section,https://pleiades.stoa.org/places/216780,24.743846,44.303527,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0102,plc-pleiades-216809,src-pleiades-gazetteer,textual_only,Feldioara,latn,und,,Feldioara,section,https://pleiades.stoa.org/places/216809,25.59156,45.816418,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0103,plc-pleiades-216810,src-pleiades-gazetteer,textual_only,Fîlfani,latn,und,,Fîlfani,section,https://pleiades.stoa.org/places/216810,24.760404,44.612155,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0104,plc-pleiades-216840,src-pleiades-gazetteer,textual_only,Hoghiz,latn,und,,Hoghiz,section,https://pleiades.stoa.org/places/216840,25.300011,45.983366,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0105,plc-pleiades-216851,src-pleiades-gazetteer,textual_only,Inlăceni,latn,und,,Inlăceni,section,https://pleiades.stoa.org/places/216851,25.111639,46.431143,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0106,plc-pleiades-216852,src-pleiades-gazetteer,textual_only,Ismail,latn,und,,Ismail,section,https://pleiades.stoa.org/places/216852,28.836376,45.351691,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0107,plc-pleiades-216854,src-pleiades-gazetteer,textual_only,Izlaz,latn,und,,Izlaz,section,https://pleiades.stoa.org/places/216854,24.750056,43.733337,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0108,plc-pleiades-216875,src-pleiades-gazetteer,textual_only,Mălăieşti,latn,und,,Mălăieşti,section,https://pleiades.stoa.org/places/216875,26.000146,45.127822,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0109,plc-pleiades-216905,src-pleiades-gazetteer,textual_only,Odorheiu Secuiesc,latn,und,,Odorheiu Secuiesc,section,https://pleiades.stoa.org/places/216905,25.301186,46.313132,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0110,plc-pleiades-216910,src-pleiades-gazetteer,textual_only,Olteni,latn,und,,Olteni,section,https://pleiades.stoa.org/places/216910,25.848815,45.974122,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0111,plc-pleiades-216923,src-pleiades-gazetteer,textual_only,Peceneaga,latn,und,,Peceneaga,section,https://pleiades.stoa.org/places/216923,28.151245,45.016653,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0112,plc-pleiades-216929,src-pleiades-gazetteer,textual_only,Pietroasa de Jos,latn,und,,Pietroasa de Jos,section,https://pleiades.stoa.org/places/216929,26.566816,45.100082,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0113,plc-pleiades-216932,src-pleiades-gazetteer,textual_only,Piroboridava,latn,und,,Piroboridava,section,https://pleiades.stoa.org/places/216932,27.250009,45.983326,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0114,plc-pleiades-216933,src-pleiades-gazetteer,textual_only,Piscul Crăsanilor,latn,und,,Piscul Crăsanilor,section,https://pleiades.stoa.org/places/216933,26.859816,44.598518,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0115,plc-pleiades-216934,src-pleiades-gazetteer,textual_only,Piua Pietrei,latn,und,,Piua Pietrei,section,https://pleiades.stoa.org/places/216934,27.836498,44.72711,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0116,plc-pleiades-216937,src-pleiades-gazetteer,textual_only,Pons Aluti,latn,und,,Pons Aluti,section,https://pleiades.stoa.org/places/216937,24.236029000000002,44.870115999999996,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0117,plc-pleiades-216939,src-pleiades-gazetteer,textual_only,Pons Vetus,latn,und,,Pons Vetus,section,https://pleiades.stoa.org/places/216939,24.3065325,45.5028615,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0118,plc-pleiades-216941,src-pleiades-gazetteer,textual_only,Popeşti,latn,und,,Popeşti,section,https://pleiades.stoa.org/places/216941,26.399809,44.303015,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0119,plc-pleiades-216943,src-pleiades-gazetteer,textual_only,Praetorium,latn,und,,Praetorium,section,https://pleiades.stoa.org/places/216943,24.303476792560893,45.4177599601573,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
att-0120,plc-pleiades-216987,src-pleiades-gazetteer,textual_only,Slăveni Roman Fort,latn,und,,Slăveni Roman Fort,section,https://pleiades.stoa.org/places/216987,24.52904396013058,44.081925496829406,high,normalized,imported,,,,Pleiades published display label and representative point; this row does not claim that the label reproduces an ancient witness spelling.
