place_id,reference_name,place_type,region,location_status,ref_lon,ref_lat,ref_geometry_provenance,pleiades_id,whg_id,external_verified,review_state,normalization_method,reviewer,review_date,note
plc-oradea,Oradea,settlement,crisana,located,21.93,47.06,modern_reference,,,no,normalized,llm_assisted,,,"Varadinum, Nagyvárad, Grosswardein on the western approach."
plc-timisoara,Timișoara,settlement,banat,located,21.23,45.75,modern_reference,,,no,normalized,llm_assisted,,,Temesvár and Temeschwar; an Ottoman eyalet seat then a Habsburg fortress.
plc-targoviste,Târgoviște,settlement,muntenia,located,25.46,44.93,modern_reference,,,no,normalized,llm_assisted,,,Wallachian princely seat with a dense internal charter record.
plc-bucuresti,București,settlement,muntenia,located,26.1,44.44,modern_reference,,,no,normalized,llm_assisted,,,Late to the maps and central to them afterwards; the seam Trench E excavates.
plc-curtea-de-arges,Curtea de Argeș,settlement,muntenia,located,24.68,45.14,modern_reference,,,no,normalized,llm_assisted,,,The first Wallachian seat; textual evidence far outruns cartographic.
plc-campulung,Câmpulung,settlement,muntenia,located,25.05,45.27,modern_reference,,,no,normalized,llm_assisted,,,Langenau and Dlugopole beside the Romanian name.
plc-craiova,Craiova,settlement,oltenia,located,23.8,44.32,modern_reference,,,no,normalized,llm_assisted,,,The Oltenian centre; covered by the Habsburg occupation survey of 1718–39.
plc-suceava,Suceava,settlement,moldavia,located,26.25,47.65,modern_reference,,,no,normalized,llm_assisted,,,Moldavian princely seat named in Cantemir and in the charters before him.
plc-iasi,Iași,settlement,moldavia,located,27.6,47.16,modern_reference,,,no,normalized,llm_assisted,,,Jassy and Iași; the later Moldavian capital across two record traditions.
plc-hotin,Hotin,settlement,moldavia,located,26.49,48.51,modern_reference,,,no,normalized,llm_assisted,,,"Chocim, Khotyn, Hotin: a frontier fortress passed between three states."
plc-pleiades-206895,Afumaţi,settlement,oltenia,located,23.47618,44.00204,scholarly_reconstruction,206895,,yes,normalized,imported,,,Pleiades 206895; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206896,Aghireşcu,settlement,transylvania,located,23.241694,46.872513,scholarly_reconstruction,206896,,yes,normalized,imported,,,Pleiades 206896; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206932,Aradul Nou,fortification,crisana,located,21.315096,46.146819,scholarly_reconstruction,206932,,yes,normalized,imported,,,Pleiades 206932; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206951,Băiţa,settlement,transylvania,located,22.892712,46.032484,scholarly_reconstruction,206951,,yes,normalized,imported,,,Pleiades 206951; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206956,Balta Verde,settlement,banat,located,22.598167,44.345407,scholarly_reconstruction,206956,,yes,normalized,imported,,,Pleiades 206956; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206971,Bocşa,settlement,banat,located,21.719627,45.371256,scholarly_reconstruction,206971,,yes,normalized,imported,,,Pleiades 206971; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206988,Brucla,settlement,transylvania,located,23.729304,46.312309,scholarly_reconstruction,206988,,yes,normalized,imported,,,Pleiades 206988; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206998,Bulci,fortification,crisana,located,22.105561,46.004728,scholarly_reconstruction,206998,,yes,normalized,imported,,,Pleiades 206998; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-206999,Bumbeşti,fortification,oltenia,located,23.38156,45.178701,scholarly_reconstruction,206999,,yes,normalized,imported,,,Pleiades 206999; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207010,Căraciu,settlement,transylvania,located,22.704309,46.175209,scholarly_reconstruction,207010,,yes,normalized,imported,,,Pleiades 207010; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207023,Cenad,fortification,crisana,located,20.585818,46.138105,scholarly_reconstruction,207023,,yes,normalized,imported,,,Pleiades 207023; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207026,Cetate,settlement,oltenia,located,23.051775,44.106611,scholarly_reconstruction,207026,,yes,normalized,imported,,,Pleiades 207026; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207030,Cheţani,settlement,transylvania,located,24.025731,46.464413,scholarly_reconstruction,207030,,yes,normalized,imported,,,Pleiades 207030; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207052,Criciova,settlement,banat,located,22.066639,45.633278,scholarly_reconstruction,207052,,yes,normalized,imported,,,Pleiades 207052; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207074,Denta,settlement,banat,located,21.260402,45.360397,scholarly_reconstruction,207074,,yes,normalized,imported,,,Pleiades 207074; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207075,Desa,settlement,oltenia,located,23.033899,43.866568,scholarly_reconstruction,207075,,yes,normalized,imported,,,Pleiades 207075; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207087,Domaşnea,settlement,banat,located,22.316725,45.083198,scholarly_reconstruction,207087,,yes,normalized,imported,,,Pleiades 207087; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207093,Dorticum,fortification,oltenia,located,22.736228,44.19265,scholarly_reconstruction,207093,,yes,normalized,imported,,,Pleiades 207093; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207094,Dragu,settlement,transylvania,located,23.391696,47.0382,scholarly_reconstruction,207094,,yes,normalized,imported,,,Pleiades 207094; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207119,Foeni,fortification,banat,located,20.875371,45.497006,scholarly_reconstruction,207119,,yes,normalized,imported,,,Pleiades 207119; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207129,Germisara,fortification,transylvania,located,23.164363,45.897054,scholarly_reconstruction,207129,,yes,normalized,imported,,,Pleiades 207129; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207133,Gherla,fortification,transylvania,located,23.89699518491554,47.02427563044873,scholarly_reconstruction,207133,,yes,normalized,imported,,,Pleiades 207133; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207145,Gornea,fortification,banat,located,21.855154,44.680635,scholarly_reconstruction,207145,,yes,normalized,imported,,,Pleiades 207145; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207242,Lipova,settlement,crisana,located,21.684316,46.081725,scholarly_reconstruction,207242,,yes,normalized,imported,,,Pleiades 207242; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207264,Mănărade,settlement,transylvania,located,23.970139,46.141675,scholarly_reconstruction,207264,,yes,normalized,imported,,,Pleiades 207264; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207276,Mercurea,settlement,transylvania,located,23.793973,45.89065,scholarly_reconstruction,207276,,yes,normalized,imported,,,Pleiades 207276; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207329,Palatca,settlement,transylvania,located,23.988306,46.840774,scholarly_reconstruction,207329,,yes,normalized,imported,,,Pleiades 207329; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207354,Pojejena de Sus,fortification,banat,located,21.580472,44.760152,scholarly_reconstruction,207354,,yes,normalized,imported,,,Pleiades 207354; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207357,Pons Augusti,settlement,banat,located,22.518892,45.504578,scholarly_reconstruction,207357,,yes,normalized,imported,,,Pleiades 207357; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207366,Prilipăţ,settlement,banat,located,22.063852,44.931353,scholarly_reconstruction,207366,,yes,normalized,imported,,,Pleiades 207366; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207367,Pui,settlement,transylvania,located,23.092043,45.518158,scholarly_reconstruction,207367,,yes,normalized,imported,,,Pleiades 207367; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207372,Răcari,fortification,oltenia,located,23.571841,44.514002,scholarly_reconstruction,207372,,yes,normalized,imported,,,Pleiades 207372; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207393,Rocşoreni,settlement,oltenia,located,23.116614,44.516565,scholarly_reconstruction,207393,,yes,normalized,imported,,,Pleiades 207393; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207419,Samum,fortification,transylvania,located,23.8474695,47.191495,scholarly_reconstruction,207419,,yes,normalized,imported,,,Pleiades 207419; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207444,Sînnicolaul Mare,fortification,crisana,located,20.628316,46.077476,scholarly_reconstruction,207444,,yes,normalized,imported,,,Pleiades 207444; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207456,Şoimuşeni,settlement,maramures,located,23.343711,47.31268,scholarly_reconstruction,207456,,yes,normalized,imported,,,Pleiades 207456; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207464,Stănija,settlement,transylvania,located,22.943505,46.197859,scholarly_reconstruction,207464,,yes,normalized,imported,,,Pleiades 207464; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207556,Vîrţu,fortification,oltenia,located,23.135888,44.915094,scholarly_reconstruction,207556,,yes,normalized,imported,,,Pleiades 207556; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-207577,Zăvalu,fortification,oltenia,located,23.790117,43.809013,scholarly_reconstruction,207577,,yes,normalized,imported,,,Pleiades 207577; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216700,Altinum,fortification,dobrogea,located,27.692895999999998,44.1873315,scholarly_reconstruction,216700,,yes,normalized,imported,,,Pleiades 216700; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216712,Arubium,fortification,dobrogea,located,28.132517862291294,45.246218728966525,scholarly_reconstruction,216712,,yes,normalized,imported,,,Pleiades 216712; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216724,Babadag,settlement,dobrogea,located,28.717592000000003,44.891249,scholarly_reconstruction,216724,,yes,normalized,imported,,,Pleiades 216724; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216727,Barboşi,fortification,dobrogea,located,27.989563678558675,45.40489098528261,scholarly_reconstruction,216727,,yes,normalized,imported,,,Pleiades 216727; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216737,Brîncoveneşti,fortification,transylvania,located,24.766533,46.866293,scholarly_reconstruction,216737,,yes,normalized,imported,,,Pleiades 216737; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216740,Bugeac,fortification,dobrogea,located,27.431237,44.098073,scholarly_reconstruction,216740,,yes,normalized,imported,,,Pleiades 216740; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216745,Călugăreni,fortification,transylvania,located,24.877312,46.628977,scholarly_reconstruction,216745,,yes,normalized,imported,,,Pleiades 216745; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216755,Castra Traiana,fortification,oltenia,located,24.37711,45.20912,scholarly_reconstruction,216755,,yes,normalized,imported,,,Pleiades 216755; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216771,Cincşor,fortification,transylvania,located,24.833187,45.837593,scholarly_reconstruction,216771,,yes,normalized,imported,,,Pleiades 216771; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216772,Cîrlomăneşti,fortification,muntenia,located,26.263876,45.448538,scholarly_reconstruction,216772,,yes,normalized,imported,,,Pleiades 216772; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216773,Cochirleni,fortification,dobrogea,located,27.999023,44.278893,scholarly_reconstruction,216773,,yes,normalized,imported,,,Pleiades 216773; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216779,Cristeşti,fortification,transylvania,located,24.483571,46.499981,scholarly_reconstruction,216779,,yes,normalized,imported,,,Pleiades 216779; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216780,Crîmpoaia/Ghioca,fortification,muntenia,located,24.743846,44.303527,scholarly_reconstruction,216780,,yes,normalized,imported,,,Pleiades 216780; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216809,Feldioara,fortification,transylvania,located,25.59156,45.816418,scholarly_reconstruction,216809,,yes,normalized,imported,,,Pleiades 216809; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216810,Fîlfani,fortification,muntenia,located,24.760404,44.612155,scholarly_reconstruction,216810,,yes,normalized,imported,,,Pleiades 216810; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216840,Hoghiz,fortification,transylvania,located,25.300011,45.983366,scholarly_reconstruction,216840,,yes,normalized,imported,,,Pleiades 216840; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216851,Inlăceni,fortification,transylvania,located,25.111639,46.431143,scholarly_reconstruction,216851,,yes,normalized,imported,,,Pleiades 216851; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216852,Ismail,fortification,dobrogea,located,28.836376,45.351691,scholarly_reconstruction,216852,,yes,normalized,imported,,,Pleiades 216852; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216854,Izlaz,fortification,muntenia,located,24.750056,43.733337,scholarly_reconstruction,216854,,yes,normalized,imported,,,Pleiades 216854; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216875,Mălăieşti,fortification,muntenia,located,26.000146,45.127822,scholarly_reconstruction,216875,,yes,normalized,imported,,,Pleiades 216875; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216905,Odorheiu Secuiesc,fortification,transylvania,located,25.301186,46.313132,scholarly_reconstruction,216905,,yes,normalized,imported,,,Pleiades 216905; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216910,Olteni,fortification,transylvania,located,25.848815,45.974122,scholarly_reconstruction,216910,,yes,normalized,imported,,,Pleiades 216910; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216923,Peceneaga,fortification,dobrogea,located,28.151245,45.016653,scholarly_reconstruction,216923,,yes,normalized,imported,,,Pleiades 216923; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216929,Pietroasa de Jos,fortification,muntenia,located,26.566816,45.100082,scholarly_reconstruction,216929,,yes,normalized,imported,,,Pleiades 216929; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216932,Piroboridava,fortification,moldavia,located,27.250009,45.983326,scholarly_reconstruction,216932,,yes,normalized,imported,,,Pleiades 216932; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216933,Piscul Crăsanilor,fortification,muntenia,located,26.859816,44.598518,scholarly_reconstruction,216933,,yes,normalized,imported,,,Pleiades 216933; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216934,Piua Pietrei,fortification,dobrogea,located,27.836498,44.72711,scholarly_reconstruction,216934,,yes,normalized,imported,,,Pleiades 216934; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216937,Pons Aluti,fortification,oltenia,located,24.236029000000002,44.870115999999996,scholarly_reconstruction,216937,,yes,normalized,imported,,,Pleiades 216937; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216939,Pons Vetus,fortification,transylvania,located,24.3065325,45.5028615,scholarly_reconstruction,216939,,yes,normalized,imported,,,Pleiades 216939; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216941,Popeşti,fortification,muntenia,located,26.399809,44.303015,scholarly_reconstruction,216941,,yes,normalized,imported,,,Pleiades 216941; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216943,Praetorium,fortification,oltenia,located,24.303476792560893,45.4177599601573,scholarly_reconstruction,216943,,yes,normalized,imported,,,Pleiades 216943; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-216987,Slăveni Roman Fort,fortification,muntenia,located,24.52904396013058,44.081925496829406,scholarly_reconstruction,216987,,yes,normalized,imported,,,Pleiades 216987; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217007,Thalamonium,fortification,dobrogea,located,28.916885,45.149867,scholarly_reconstruction,217007,,yes,normalized,imported,,,Pleiades 217007; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217018,Topalu,fortification,dobrogea,located,28.04476,44.544546,scholarly_reconstruction,217018,,yes,normalized,imported,,,Pleiades 217018; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217027,Tropaeum Traiani (settlement),settlement,dobrogea,located,27.94398724665909,44.09207335206407,scholarly_reconstruction,217027,,yes,normalized,imported,,,Pleiades 217027; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217037,Valea Urluii,fortification,muntenia,located,25.053293,43.958529,scholarly_reconstruction,217037,,yes,normalized,imported,,,Pleiades 217037; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217042,Vicus Buteridavensis,settlement,dobrogea,located,28.703659,44.688795,scholarly_reconstruction,217042,,yes,normalized,imported,,,Pleiades 217042; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217047,Vicus Novus,settlement,dobrogea,located,28.717477,44.891421,scholarly_reconstruction,217047,,yes,normalized,imported,,,Pleiades 217047; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217048,Vicus Petrus,settlement,dobrogea,located,28.605266,44.809832,scholarly_reconstruction,217048,,yes,normalized,imported,,,Pleiades 217048; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-217049,Vicus Quintionis,settlement,dobrogea,located,28.712282,44.569999,scholarly_reconstruction,217049,,yes,normalized,imported,,,Pleiades 217049; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
plc-pleiades-281718504,Alburnus Maior,settlement,transylvania,located,23.1309849,46.3062526,scholarly_reconstruction,281718504,,yes,normalized,imported,,,Pleiades 281718504; published place URI and precise representative point from the 2026-08-21 GIS snapshot. Imported authority record pending CND human review.
