id,place_id,name,name_historic,name_modern,role,participation_class,valid_from,valid_to,region,parent_polity,certainty,latitude,longitude,essay_anchor,source,notes
hse-place-greifswald-active-1356,greifswald,Greifswald,Greifswald,Greifswald,active_city,documented_collective_participation,1356,1669,Pomerania,Holy Roman Empire,medium,54.0958,13.3815,city-is-unit,hse-src-marczinek-data-2025,"Documented city flag supports inclusion; the phase bounds are analytical."
hse-place-luneburg-active-1356,luneburg,Lüneburg,Lüneburg,Lüneburg,active_city,documented_collective_participation,1356,1669,Lower Saxony,Holy Roman Empire,high,53.2464,10.4115,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Salt corridor is modelled as a generalized reconstruction in routes.csv."
hse-place-braunschweig-active-1356,braunschweig,Braunschweig,Brunswiek,Braunschweig,active_city,documented_collective_participation,1356,1669,Saxon inland,Holy Roman Empire,high,52.2689,10.5268,city-is-unit,hse-src-marczinek-data-2025,"Historic Low German form is included for search; phase bounds are analytical."
hse-place-magdeburg-active-1356,magdeburg,Magdeburg,Magdeburg,Magdeburg,active_city,documented_regional_participation,1356,1669,Saxon inland,Holy Roman Empire,medium,52.1205,11.6276,city-is-unit,hse-src-marczinek-data-2025,"Regional participation avoids implying an unbroken individual attendance record."
hse-place-dortmund-active-1356,dortmund,Dortmund,Dortmund,Dortmund,active_city,documented_collective_participation,1356,1669,Westphalia,Holy Roman Empire,high,51.5136,7.4653,city-is-unit,hse-src-marczinek-data-2025,"Documented city in the research dataset; bounds are the project's analytical window."
hse-place-soest-represented-1356,soest,Soest,Sööst,Soest,represented_city,documented_regional_participation,1356,1669,Westphalia,Holy Roman Empire,medium,51.5711,8.1058,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-munster-represented-1356,munster,Münster,Münster,Münster,represented_city,documented_regional_participation,1356,1669,Westphalia,Holy Roman Empire,medium,51.9607,7.6261,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-osnabruck-represented-1356,osnabruck,Osnabrück,Osnabrück,Osnabrück,represented_city,documented_regional_participation,1356,1669,Westphalia,Holy Roman Empire,medium,52.2799,8.0472,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-hannover-represented-1356,hannover,Hannover,Hannover,Hannover,represented_city,documented_regional_participation,1356,1669,Lower Saxony,Holy Roman Empire,medium,52.3759,9.7320,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-goslar-represented-1356,goslar,Goslar,Goslar,Goslar,represented_city,documented_regional_participation,1356,1669,Harz,Holy Roman Empire,medium,51.9059,10.4289,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Mining-centre inclusion is not a claim about quantified metal volumes."
hse-place-stade-represented-1356,stade,Stade,Stade,Stade,represented_city,documented_regional_participation,1356,1669,Lower Elbe,Holy Roman Empire,medium,53.5934,9.4765,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-kiel-associated-1356,kiel,Kiel,Kiel,Kiel,associated_town,represented_through_another_city,1356,1669,Wendish-Baltic,Holy Roman Empire,medium,54.3233,10.1228,city-is-unit,hse-src-marczinek-data-2025,"Mediated classification records network association without asserting independent standing."
hse-place-quedlinburg-represented-1356,quedlinburg,Quedlinburg,Quedlinburg,Quedlinburg,represented_city,documented_regional_participation,1356,1669,Saxon inland,Holy Roman Empire,medium,51.7884,11.1503,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-halle-represented-1356,halle,Halle,Halle an der Saale,Halle (Saale),represented_city,documented_regional_participation,1356,1669,Saxon inland,Holy Roman Empire,medium,51.4825,11.9705,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Salt-producing context is descriptive; no volume is encoded."
hse-place-erfurt-represented-1356,erfurt,Erfurt,Erfurt,Erfurt,represented_city,documented_regional_participation,1356,1669,Thuringia,Holy Roman Empire,medium,50.9848,11.0299,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-gottingen-represented-1356,gottingen,Göttingen,Göttingen,Göttingen,represented_city,documented_regional_participation,1356,1669,Lower Saxony,Holy Roman Empire,medium,51.5413,9.9158,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-einbeck-represented-1356,einbeck,Einbeck,Einbeck,Einbeck,represented_city,documented_regional_participation,1356,1669,Lower Saxony,Holy Roman Empire,medium,51.8200,9.8694,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Commodity context remains qualitative and unquantified."
hse-place-hameln-represented-1356,hameln,Hameln,Hameln,Hameln,represented_city,documented_regional_participation,1356,1669,Lower Weser,Holy Roman Empire,medium,52.1083,9.3622,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-minden-represented-1356,minden,Minden,Minden,Minden,represented_city,documented_regional_participation,1356,1669,Westphalia,Holy Roman Empire,medium,52.2965,8.8949,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-bielefeld-represented-1356,bielefeld,Bielefeld,Bielefeld,Bielefeld,represented_city,documented_regional_participation,1356,1669,Westphalia,Holy Roman Empire,medium,52.0302,8.5325,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-paderborn-represented-1356,paderborn,Paderborn,Paderborn,Paderborn,represented_city,documented_regional_participation,1356,1669,Westphalia,Holy Roman Empire,medium,51.7189,8.7575,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-elblag-active-1356,elblag,Elbląg,Elbing,Elbląg,active_city,documented_collective_participation,1356,1669,Prussia,Teutonic and Royal Prussia,high,54.1522,19.4088,city-is-unit,hse-src-marczinek-data-2025,"Historic German name retained as a search synonym."
hse-place-torun-active-1356,torun,Toruń,Thorn,Toruń,active_city,documented_collective_participation,1356,1669,Prussia,Teutonic and Royal Prussia,high,53.0138,18.5984,city-is-unit,hse-src-marczinek-data-2025,"Historic German name retained as a search synonym."
hse-place-konigsberg-active-1356,konigsberg,Königsberg,Königsberg,Kaliningrad,active_city,documented_collective_participation,1356,1669,Prussia,Teutonic and Ducal Prussia,medium,54.7104,20.4522,city-is-unit,hse-src-marczinek-data-2025,"Stable place_id follows the historic city name while the modern label records Kaliningrad."
hse-place-tallinn-active-1356,tallinn,Tallinn,Reval,Tallinn,active_city,documented_collective_participation,1356,1669,Livonia,Livonian and Swedish rule,high,59.4370,24.7536,city-is-unit,hse-src-marczinek-data-2025,"Historic German name retained as a search synonym."
hse-place-tartu-active-1356,tartu,Tartu,Dorpat,Tartu,active_city,documented_collective_participation,1356,1669,Livonia,Livonian and Polish-Swedish rule,high,58.3776,26.7290,city-is-unit,hse-src-marczinek-data-2025,"Historic German name retained as a search synonym."
hse-place-parnu-represented-1356,parnu,Pärnu,Pernau,Pärnu,represented_city,documented_regional_participation,1356,1669,Livonia,Livonian and Swedish rule,medium,58.3859,24.4971,city-is-unit,hse-src-marczinek-data-2025,"Regional classification is deliberately less specific than a membership claim."
hse-place-viljandi-associated-1356,viljandi,Viljandi,Fellin,Viljandi,associated_town,represented_through_another_city,1356,1669,Livonia,Livonian and Polish-Swedish rule,medium,58.3639,25.5900,city-is-unit,hse-src-marczinek-data-2025,"Mediated classification records network association without asserting independent standing."
hse-place-krakow-associated-1356,krakow,Kraków,Krakau,Kraków,associated_town,represented_through_another_city,1356,1669,Polish inland,Kingdom of Poland,medium,50.0647,19.9450,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Inclusion records network association; no claim of continuous independent participation is made."
hse-place-wroclaw-associated-1356,wroclaw,Wrocław,Breslau,Wrocław,associated_town,represented_through_another_city,1356,1669,Silesia,Bohemian Crown and Habsburg monarchy,medium,51.1079,17.0385,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Historic German name retained as a search synonym; political label is intentionally broad."
hse-place-stockholm-associated-1356,stockholm,Stockholm,Stockholm,Stockholm,associated_town,commercial_association_only,1356,1669,Sweden,Kingdom of Sweden,medium,59.3293,18.0686,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Commercial association does not assert collective town participation."
hse-place-kalmar-associated-1356,kalmar,Kalmar,Kalmar,Kalmar,associated_town,commercial_association_only,1356,1669,Sweden,Kingdom of Sweden,medium,56.6634,16.3568,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Commercial association does not assert collective town participation."
hse-place-turku-associated-1356,turku,Turku,Åbo,Turku,associated_town,commercial_association_only,1356,1669,Finland,Kingdom of Sweden,medium,60.4518,22.2666,goods-draw-different-leagues,hse-src-marczinek-data-2025,"Historic Swedish name retained as a search synonym; commercial association does not assert membership."
hse-place-novgorod-kontor-1295,novgorod,Novgorod,Nowgorod,Veliky Novgorod,kontor,commercial_association_only,1295,1494,North-west Rus',Novgorod Republic,high,58.5256,31.2742,four-cities-inside-other-cities,hse-src-unesco-hanse-2017,"Bounds match the selected Second Schra institutional phase and Peterhof suppression in the reviewed Kontor dossier."
hse-place-bergen-kontor-1350,bergen,Bergen,Bergen,Bergen,kontor,commercial_association_only,1350,1761,Norway,Kingdom of Norway,high,60.3913,5.3221,four-cities-inside-other-cities,hse-src-unesco-hanse-2017,"Bounds match the reviewed Bryggen Kontor dossier and preserve its afterlife beyond 1669."
hse-place-london-kontor-1554,london,London,Londinium,London,kontor,commercial_association_only,1554,1598,England,Kingdom of England,high,51.5074,-0.1278,four-cities-inside-other-cities,hse-src-unesco-hanse-2017,"Bounds are the reviewed 1554 by-laws phase through suppression in 1598; they are not foundation dates."
hse-place-bruges-kontor-1458,bruges,Bruges,Brügge,Brugge,kontor,commercial_association_only,1458,1502,Flanders,Burgundian Netherlands,high,51.2093,3.2247,four-cities-inside-other-cities,hse-src-unesco-hanse-2017,"Bounds are the reviewed charter group window and not the full lifetime of Hanseatic presence."
hse-place-antwerp-branch-1520,antwerp,Antwerp,Antwerpen,Antwerpen,foreign_branch,commercial_association_only,1520,1669,Brabant,Habsburg Netherlands,medium,51.2194,4.4025,four-cities-inside-other-cities,hse-src-wubs-mrozewicz-2013,"The role records the institutional-commercial shift from Bruges without treating it as a sovereign transfer."
hse-place-boston-associated-1356,boston,Boston,St Botolph's Town,Boston,associated_town,commercial_association_only,1356,1669,Lincolnshire,Kingdom of England,medium,52.9789,-0.0266,goods-draw-different-leagues,hse-src-marczinek-data-2025,"English market association is encoded without asserting town membership."
hse-place-kings-lynn-associated-1356,kings-lynn,King's Lynn,Bishop's Lynn,King's Lynn,associated_town,commercial_association_only,1356,1669,Norfolk,Kingdom of England,medium,52.7517,0.3952,goods-draw-different-leagues,hse-src-marczinek-data-2025,"English market association is encoded without asserting town membership."
hse-place-ipswich-associated-1356,ipswich,Ipswich,Gippeswic,Ipswich,associated_town,commercial_association_only,1356,1669,Suffolk,Kingdom of England,medium,52.0567,1.1482,goods-draw-different-leagues,hse-src-marczinek-data-2025,"English market association is encoded without asserting town membership."
hse-place-deventer-represented-1367,deventer,Deventer,Deventer,Deventer,represented_city,documented_collective_participation,1367,1507,IJssel,Low Countries,high,52.2661,6.1552,city-is-unit,hse-src-henn-2017,"Henn documents Zuiderzee and IJssel participation from 1367 through the last meeting in his study window."
hse-place-kampen-represented-1367,kampen,Kampen,Kampen,Kampen,represented_city,documented_collective_participation,1367,1507,IJssel,Low Countries,high,52.5550,5.9111,city-is-unit,hse-src-henn-2017,"Henn cautions against reducing Kampen's changing standing to a simple membership or readmission claim."
hse-place-zwolle-represented-1367,zwolle,Zwolle,Zwolle,Zwolle,represented_city,documented_regional_participation,1367,1507,IJssel,Low Countries,high,52.5168,6.0830,city-is-unit,hse-src-henn-2017,"Henn cautions against reducing Zwolle's changing standing to a simple membership claim."
hse-place-harderwijk-represented-1367,harderwijk,Harderwijk,Harderwijk,Harderwijk,represented_city,documented_collective_participation,1367,1507,Zuiderzee,Low Countries,high,52.3417,5.6200,city-is-unit,hse-src-henn-2017,"Henn documents first Diet attendance in 1367 and collective participation in the study window."
hse-place-elburg-represented-1367,elburg,Elburg,Elburg,Elburg,represented_city,documented_collective_participation,1367,1507,Zuiderzee,Low Countries,high,52.4472,5.8431,city-is-unit,hse-src-henn-2017,"Henn documents first Diet attendance in 1367 and collective participation in the study window."
hse-place-nijmegen-represented-1447,nijmegen,Nijmegen,Nimwegen,Nijmegen,represented_city,documented_regional_participation,1447,1507,Lower Rhine,Low Countries,high,51.8126,5.8372,city-is-unit,hse-src-henn-2017,"The 1447 quarter arrangement names Nijmegen as a convener; bounds are Henn's analytical window."
hse-place-arnhem-associated-1447,arnhem,Arnhem,Arnheim,Arnhem,associated_town,represented_through_another_city,1447,1507,Lower Rhine,Low Countries,medium,51.9851,5.8987,city-is-unit,hse-src-henn-2017,"The 1447 regional arrangement supports mediated representation rather than a membership label."
hse-place-wesel-represented-1447,wesel,Wesel,Wesel,Wesel,represented_city,documented_regional_participation,1447,1507,Lower Rhine,Holy Roman Empire,medium,51.6570,6.6177,city-is-unit,hse-src-henn-2017,"The 1447 regional arrangement supports a regional classification."
hse-place-duisburg-associated-1447,duisburg,Duisburg,Duisburg,Duisburg,associated_town,represented_through_another_city,1447,1507,Lower Rhine,Holy Roman Empire,medium,51.4344,6.7623,city-is-unit,hse-src-henn-2017,"The 1447 regional arrangement supports mediated representation rather than a membership label."
