event_id,subject_type,subject_id,event_field,event_type,spec_value,lane_value,oconnell_value,resolution,status,notes
possession_negroponte_1211_start,possession,negroponte_1211,start_date,territorial_acquisition,1211-01-01,undated@p43,1211@p164,corrected_to_source,verified_page_level,Corrected from 1209 — O'Connell records the bailo of Negroponte elected regularly from 1211 (p164 n r) with shared control beside three Latin lords (p19) and influence since 1204 (p25); Lane describes Venice establishing itself firmly without a year (p43). The 1209 terzieri-treaty date is outside both anchors.
possession_negroponte_1211_end,possession,negroponte_1211,end_date,administrative_change,1390-01-01,not_in_source,1390@p25,confirmed_spec,verified_page_level,O'Connell: Venice became sole and sovereign ruler of the island in 1390 (p25); appendix 1390-1470 (p163).
possession_negroponte_1390_start,possession,negroponte_1390,start_date,administrative_change,1390-01-01,not_in_source,1390@p22+p25,confirmed_spec,verified_page_level,Same basis as negroponte_1211_end.
possession_negroponte_1390_end,possession,negroponte_1390,end_date,territorial_loss,1470-07-12,1470@p236+chronology,1470-07@p35,confirmed_spec,verified_page_level,"Lane: Mohammed took Negroponte 1470 with renunciation by treaty January 25 1479 (p236) and ""Negroponte lost to Turks"" 1470 in the Chronology; O'Connell: island in Ottoman hands by July 1470 (p35). Day-level value retained at spec precision."
possession_morea_1206_start,possession,morea_1206,start_date,territorial_acquisition,1206-01-01,1204@p242,1206@p19+p162-163,corrected_to_source,verified_page_level,Corrected from 1207 — O'Connell dates possession of Corfu Modon and Coron by the Dandolo-Premarin fleet 1206 (p19) with appendix rows 1206-1500 (pp162-163); Lane's since-1204 (p242) refers to the partition award and p43 describes the acquisition undated. Spec 1207 appears in neither anchor.
possession_morea_1206_end,possession,morea_1206,end_date,territorial_loss,1500-08-15,1500@p242+chronology,1500@p162-163,confirmed_spec,verified_page_level,"Both anchors give 1500 for the loss of Modon and Coron (Lane p242 and the Chronology's ""Modon lost to the Turks (1500)""; O'Connell appendix). Day-level value retained at spec precision."
possession_morea_1685_start,possession,morea_1685,start_date,territorial_acquisition,1685-08-11,1684_1699@p410+chronology,not_in_source,retained_spec_envelope,verified_page_level,Lane places Morosini's conquest of the Morea within four years of 1683-1684 (p410) and the Chronology brackets the First War of Morea 1684-1699; the day-level start is the traditional Coron capture date outside both anchors and is retained as envelope per decision D10.
possession_morea_1685_end,possession,morea_1685,end_date,territorial_loss,1715-09-07,1714_1718@p411+chronology,not_in_source,retained_spec_envelope,verified_page_level,Lane dates the Ottoman reconquest campaign from 1714 (p411) and the Chronology brackets the Second War of Morea 1714-1718; the 1715 day-level end is retained as the de-facto envelope per decision D10.
possession_cyprus_1489_start,possession,cyprus_1489,start_date,territorial_acquisition,1489-02-26,undated@p236,1489-02@p37,confirmed_spec,verified_page_level,O'Connell: standard of San Marco raised over Cyprus February 1489 with formal submission June 20 and capitoli confirmed August (p37) and appendix 1473/1489 (p163 with n l p164); Lane records Caterina Corner's enthronement leading to possession (p236). Day retained at spec precision within the verified month.
possession_cyprus_1489_end,possession,cyprus_1489,end_date,territorial_loss,1571-08-01,1571@p370-372+chronology,1570@p38,confirmed_spec,verified_page_level,Historiographical split recorded — Lane: Famagusta fell before Lepanto was fought October 7 1571 (pp370-372) with the Chronology dating Lepanto 1571; O'Connell's narrative says the Ottomans took Cyprus 1570 (p38) while his appendix closes the row at 1571 (p163). Spec follows the fall of Famagusta.
possession_albania_veneta_1392_start,possession,albania_veneta_1392,start_date,territorial_acquisition,1392-01-01,undated@p198,1392@p22-23,confirmed_spec,verified_page_level,O'Connell: Durazzo inherited from Giorgio Thopia 1392 (p23) with appendix row 1392-1501 (p162); Lane lists the Albanian acquisitions without years (p198).
possession_albania_veneta_1392_end,possession,albania_veneta_1392,end_date,territorial_loss,1571-08-01,not_in_source,1571@p163,confirmed_spec,verified_page_level,O'Connell's appendix closes Dulcigno at 1571 (p163); Scutari had already been surrendered by the January 25 1479 treaty (Lane p236). Generalized envelope end per decision D10.
privilege_constantinople_quarter_start,privilege,constantinople_quarter,start_date,privilege_change,1082-05-01,1082@chronology+p68,not_in_source,confirmed_spec,verified_page_level,Golden Bull of 1082 grants commercial privileges in return for naval aid against the Normans (Lane Chronology) and freed Venetians from all tariffs in most cities (p68); the May day-level value is an editorial envelope.
privilege_constantinople_quarter_end,privilege,constantinople_quarter,end_date,privilege_change,1453-05-29,1453@chronology+p348,not_in_source,confirmed_spec,verified_page_level,Lane's Chronology dates the Ottoman capture of Constantinople 1453 and p348 narrates the galleys caught by the siege; day-level value is the fall of the city.
privilege_tana_fondaco_start,privilege,tana_fondaco,start_date,privilege_change,1332-01-01,1322@p129,not_in_source,retained_spec_envelope,verified_page_level,Lane dates the order detaching two galleys to Tana to 1322 and the Black Sea build-up to the 1320s and 1330s (p129); no anchor dates a fondaco beginning 1332 so the boundary is retained as a documented envelope.
privilege_tana_fondaco_end,privilege,tana_fondaco,end_date,privilege_change,1475-01-01,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,Lane records a riot closing Tana for some years after 1343 (p131) but neither anchor dates a 1475 terminus at page level; retained as envelope.
privilege_trebizond_quarter_start,privilege,trebizond_quarter,start_date,privilege_change,1204-01-01,1319@p129,not_in_source,retained_spec_envelope,verified_page_level,Documented discrepancy — Lane dates the large fortified Venetian quarter at Trebizond to after the 1319 commercial treaty with its emperor (p129) not to the 1204 partition asserted here. The 1204 start is retained only as the outer envelope of Venetian commercial presence.
privilege_trebizond_quarter_end,privilege,trebizond_quarter,end_date,privilege_change,1461-08-15,not_in_source,not_in_source,retained_spec_envelope,verified_page_level,Neither anchor dates the end of the Trebizond quarter at page level; the 1461 Ottoman conquest boundary is retained as an envelope.
port_coron_1206_start,port,coron_1206,start_date,territorial_acquisition,1206-01-01,undated@p43,1206@p19+p162,corrected_to_source,verified_page_level,Corrected from 1207 to match the morea possession row — O'Connell's appendix gives Coron 1206-1500 (p162) and the narrative dates the fleet's possession 1206 (p19).
port_modon_1206_start,port,modon_1206,start_date,territorial_acquisition,1206-01-01,undated@p43,1206@p19+p163,corrected_to_source,verified_page_level,"Corrected from 1207 — O'Connell's appendix gives Modon 1206-1500 (p163). Lane's Chronology separately confirms ""Modon lost to the Turks (1500)""."
port_negroponte_1211_start,port,negroponte_1211,start_date,territorial_acquisition,1211-01-01,undated@p43,1211@p164,corrected_to_source,verified_page_level,Corrected from 1209 to match the negroponte possession row — the bailo was elected regularly from 1211 (O'Connell p164 n r). This row was left inconsistent by the first KAN-154 pass and is fixed here.
port_lesina_1421_start,port,lesina_1421,start_date,territorial_acquisition,1421-01-01,not_in_source,1421@p30+p163,corrected_to_source,verified_page_level,Corrected from 1420 — O'Connell dates Lesina's submission to March 1421 (p30) and his appendix gives 1421-1797 (p163) while the other Dalmatian islands submitted in 1420.
port_malvasia_1464_start,port,malvasia_1464,start_date,territorial_acquisition,1464-01-01,not_in_source,1464@p163,corrected_to_source,verified_page_level,Corrected from 1460 — O'Connell's appendix gives Malvasia 1464-1540 (p163) and the 1540 loss is narrated at p38.
port_zante_1482_start,port,zante_1482,start_date,territorial_acquisition,1482-01-01,not_in_source,1482@p164,corrected_to_source,verified_page_level,Corrected from 1485 — O'Connell's appendix gives Zante 1482-1797 (p164).
port_nauplia_1389_start,port,nauplia_1389,start_date,territorial_acquisition,1389-01-01,not_in_source,1389@p25_vs_1388@p164,confirmed_spec,verified_page_level,Intra-source variance recorded — O'Connell's narrative has Perazzo Malipiero take Nauplion in 1389 (p25) while his own appendix gives 1388-1540 (p164). Spec follows the more specific narrative date.
port_zara_1202_start,port,zara_1202,start_date,territorial_acquisition,1202-11-24,undated@p43,c1000@p164,retained_spec_envelope,verified_page_level,Definitional variance recorded — O'Connell's appendix counts continuous Zaratine domination from c.1000 (p164) while the spec dates the Fourth Crusade submission of Zara that Lane describes undated (p43). Spec retained as the specific submission event.
port_naxos_1207_start,port,naxos_1207,start_date,administrative_change,1207-01-01,undated@p43,by_1212@p18,retained_spec_envelope,verified_page_level,"Stands for the seven Cyclades feudatory phases (andros milos mykonos naxos paros santorini syros) — O'Connell attests the private colonizations as established by 1212 (p18) and Lane describes the Duchy of Naxos as a fief of the Empire not of Venice without a year (p43). ""By 1212"" licenses no start year so the spec envelope is retained."
