map_object_id,act,cluster,title,creator,date_label,year,publication_context,edition_state,dimensions,repository,repository_url,persistent_id,accession_number,scan_source,rights_status,rights_basis_url,reproduction_use,verification_state,review_status,source_id,role_in_essay,notes,reviewer,review_date
ant-obj-bellingshausen-atlas,act_v,discovery_survey,Bellingshausen expedition chart material (exact plates to be identified),Fabian Gottlieb von Bellingshausen,1831,1831,Russian expedition atlas accompanying the published narrative,Not identified,,,https://www.rgo.ru/,,,,public_domain_work,https://www.rgo.ru/,undetermined,unverified,candidate,ant-src-debenham-bellingshausen,"What the 1819-21 voyage charted, as against what later writers say it saw.",A named repository and plate list are required. The priority argument cannot be illustrated from a chart nobody has located.,,
ant-obj-weddell-chart-1825,act_v,discovery_survey,Chart of the South Polar Sea (as issued with Weddell's Voyage),James Weddell,1825,1825,"A Voyage towards the South Pole, London, 1825",Not identified,,,https://www.rmg.co.uk/,,,,public_domain_work,https://www.rmg.co.uk/,undetermined,unverified,candidate,ant-src-weddell-voyage-1825,An exceptional ice year charted as if it were the normal state of the sea.,Title given here is the form usually cited and has not been checked against a copy.,,
ant-obj-wilkes-antarctic-chart,act_v,discovery_survey,"Map of the Antarctic continent, in the Atlas of the Narrative of the United States Exploring Expedition",Charles Wilkes; United States Exploring Expedition,1844,1844,"Atlas of the Narrative of the United States Exploring Expedition during the years 1838, 1839, 1840, 1841, 1842. Philadelphia: C. Sherman, 1844",Atlas plate No. 70; 5 profile views on the same sheet,,"Library of Congress, Geography and Map Division",https://www.loc.gov/,https://www.loc.gov/item/2010589747/,,"Library of Congress digitised copy 3, shelf g9230m.gct00224 (persistent_id above); the LoC site itself returns a bot-detection challenge from this environment, so the plate was examined at full IIIF resolution via the American Geographical Society Library’s digitised copy of the same plate (University of Wisconsin-Milwaukee Libraries, Digital ID am004598, https://collections.lib.uwm.edu/digital/collection/agdm/id/12243/) instead.",no_known_restrictions,https://www.loc.gov/item/2010589747/,undetermined,verified,candidate,ant-src-loc-wilkes-atlas,"Charted coast, some of which was later sailed through: the bridge from Act V into Act VI.","Plate examined 2026-08-27: “Chart of the Antarctic Continent Shewing the Icy Barrier Attached to it, Discovered by the U.S. Ex.Ex. Charles Wilkes Esq. Commander, 1840,” plate/sheet No. 70. “Termination Land” is named on it, drawn with a dotted (unsurveyed) coastline convention rather than the solid line used for surveyed coast, in the chart’s western sector near Knox’s and Budd’s High Land and Repulse Bay. Approximate position read off the plate’s own graticule: about 94.5-96.7°E, 67.9-70.1°S (centre roughly 95.6°E, 69.0°S). Read from the plate's own graticule (pixel position against the top-edge longitude ticks and the left/right-edge latitude ticks, both legible and internally consistent at two check points each), not a formal georeference with control points – treat as approximate, not survey-grade. This is the position ant-gap-wilkes-sheets asked for and ant-ghost-wilkes-segment cites; it is not the 65-67°S/160-165°E figure that had been circulating for ‘Termination Land’ before this plate was actually opened – that figure, if it belongs to anything on this chart, is closer to the more easterly cluster of named peaks (Ringgold’s Knoll and neighbours), not Termination Land, which was not independently re-checked here.",,
ant-obj-ross-south-polar-chart,act_v,discovery_survey,Ross south polar chart material (exact sheets to be identified),James Clark Ross,1847,1847,"Issued with A Voyage of Discovery and Research, London, 1847",Not identified,,,https://www.rmg.co.uk/,,,,public_domain_work,https://www.rmg.co.uk/,undetermined,unverified,candidate,ant-src-ross-voyage-1847,The first survey coast in the dataset that is drawn from sustained observation.,Ross is the point at which the register must distinguish observed coast from reported coast on the same sheet.,,
ant-obj-ukho-ice-chart-1910,act_vii,cumulative,"Ice chart of the southern hemisphere compiled from the voyages of Cook 1772-5, Bellingshausen 1819-21, Weddell 1822-4, Foster 1828-9, Biscoe 1830-2, Balleny 1839, D'Urville 1839, Wilkes 1839, Ross 1841-2-3, Scott 1901-4, and Shackleton 1908-9",United Kingdom Hydrographic Office; Carrington; Thomas Malby,1910; 1874,1910,"Admiralty chart, scale ca. 1:4 000 000",1910 issue of a chart first compiled in 1874,Printed area 29.5 cm diameter on sheet 855 x 680 mm,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-540947,G288:1/2(2),Royal Museums Greenwich collections online,rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-540947,research_only,verified,candidate,,The anchor object of Act VII: eleven voyages across 137 years compiled onto one sheet.,"Catalogue record read during this audit. Two facts from it change the argument: the credit line is Crown copyright, and the record dates the object 1910 and 1874, which means the 1910 sheet is itself a reissue of an earlier compilation. The layered archive is therefore literal.",,
ant-obj-ukho-ice-chart-1874,act_vii,cumulative,"ICE CHART OF THE SOUTHERN HEMISPHERE Compiled from the Voyages of Cook 1772-5, Bellinghausen 1819-21, Weddell 1822-4, Foster 1828-9, Biscoe 1830-2, Balleny 1839, D'Urville 1839, Wilkes 1839 and Ross 1841-2-3 From the papers on Ice-bergs in the Southern Ocean by Towson 1855-59",HM Admiralty; Robert Christopher Carrington; Malby and Son,1874 (compiled); 1879 (published),1874,Admiralty chart; polar projection to latitude 30 degrees south,"Compiled 1874, published 1879","Sheet 68 x 68 cm; print, partially coloured","National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-555864,NTY288:1/2(1),Royal Museums Greenwich collections online,rights_review_required,https://www.rmg.co.uk/,research_only,verified,candidate,ant-src-rmg-ice-chart-1874,"The 1910 chart's predecessor, and the evidence that a cumulative synthesis is itself revised.","Catalogue record read during the ANT-8 audit. The decisive comparison: this title's voyage list ends at Ross 1841-2-3 and adds Towson's iceberg papers of 1855-59, while the 1910 sheet adds Scott 1901-4 and Shackleton 1908-9. Two catalogue titles, one revision, and Act VII's layered archive stops being a metaphor. Crown copyright applies.",,
ant-obj-ite-plan-chart,act_viii,endurance,Imperial Trans-Antarctic Expedition plan chart (exact object to be identified),Imperial Trans-Antarctic Expedition,1914,1914,Expedition prospectus and published accounts,Not identified,,Scott Polar Research Institute,https://www.spri.cam.ac.uk/,,,,rights_review_required,https://www.spri.cam.ac.uk/,undetermined,unverified,candidate,ant-src-shackleton-south-1919,"The planned crossing, which Act VIII fades to background once the drift begins.","The plan has to come from a dated object rather than from a modern redrawing, or the contrast between plan and drift is a contrast between two of our own graphics.",,
ant-obj-worsley-drift-chart,act_viii,endurance,Worsley drift and boat-journey chart material (exact object to be identified),Frank Arthur Worsley,1915-1916,1916,Expedition navigational records and published accounts,Not identified,,Scott Polar Research Institute,https://www.spri.cam.ac.uk/,,,,rights_review_required,https://www.spri.cam.ac.uk/,undetermined,unverified,candidate,ant-src-worsley-endurance-1931,"The navigator's own record, which is the only thing that can separate a fix from an interpolation.","The single most important unresolved object in the programme. Until it is located, every Endurance position in the dataset is taken from a published narrative and must be labelled as such.",,
ant-obj-durville-atlas,act_v,discovery_survey,Atlas plates from Voyage au Pole Sud et dans l'Oceanie (exact plates to be identified),Jules Sebastien Cesar Dumont d'Urville,1841-1854,1846,Paris: Gide; atlas accompanying the narrative,"Atlas pittoresque, T. 2 (Paris, 1846); plates 168-172 confirmed present",,Heidelberg University Library,https://digi.ub.uni-heidelberg.de/diglit/dumont1846atlasbd2,https://doi.org/10.11588/diglit.20229,,"Heidelberg University Library digitisation, DOI 10.11588/diglit.20229 (Atlas pittoresque T. 2)",public_domain_work,https://gallica.bnf.fr/,undetermined,partially_verified,candidate,ant-src-durville-voyage,"A third national chart of the same 1840 coast, alongside Wilkes and Ross.","Gallica blocks this environment (bot-detection challenge on both a plain fetch and a browser tab), but Heidelberg University Library holds its own free digitisation of the atlas and does not: confirmed 2026-08-27 via https://digi.ub.uni-heidelberg.de/diglit/dumont1841ga, which lists four digitised items – the two narrative text volumes and Atlas pittoresque T. 1 and T. 2. Plates 168-172 (the plate range the Terre Adelie landing sequence is reported at) all exist in T. 2 and were opened one by one via the viewer''s plate-jump control; each carries a printed ""PL. <n>"" watermark confirming its number, and 168 shows a ship/landing scene consistent with a Terre Adelie plate. Individual plate captions were not transcribed (the viewer does not expose OCR text and this was not read caption-by-caption), so this is partially_verified rather than verified. No ""Atlas Hydrographique"" volume with the technical charts (the plate the essay would need for actual coastline positions rather than illustrated scenes) is among Heidelberg''s four digitised items; that volume remains unlocated.",,
ant-obj-mill-chart-1905,act_vii,cumulative,Chart material in The Siege of the South Pole (exact plates to be identified),Hugh Robert Mill,1905,1905,London: Alston Rivers,Not identified,,,https://archive.org/,,,,public_domain_work,https://archive.org/,undetermined,unverified,candidate,ant-src-mill-siege-south-pole,"What a well-informed reader could know in 1905, five years before the chart that revises it.",Held as a comparator for the 1874 to 1910 revision rather than for its own sake.,,
