gap_id,act,cluster,kind,blocks,statement,why_it_matters,next_action,status
ant-gap-endurance22-position,coda,epilogue,retrieval_failure,KAN-429|ant-clm-wreck-distance,The Endurance22 site returned 403 and the Antarctic Treaty HSM 93 entry could not be retrieved. The 1915 position now has a reviewed source; the 2022 position still does not.,"The Coda compares a 1915 reported position with a 2022 confirmed one. Neither figure is currently held from a citable source, and secondary reporting conflates the two.","The 2022 position is now held: Measure 18 (2022/2024), ant-src-hsm-93 (verified), 68°44′21″ S, 52°19′47″ W, 1500m radius. What remains is the 1915 side of the comparison – read Bergman, Mearns and Stuart''s chronometer-error companion paper (Journal of Navigation 75(6), 2022) for the transcribed position and its uncertainty, which ant-gap-worsley-workings has the archive identification for but not yet the position – before ant-clm-wreck-distance can be drawn.",in_progress
ant-gap-worsley-workings,act_viii,endurance,object_identity,KAN-428|KAN-429|ant-clm-fix-vs-interpolation,"Worsley's navigational records have not been located in a named archive, but Bergman and Stuart transcribed his logbook and replicated its calculations in print.","Without them the dataset cannot distinguish an observed fix from a dead-reckoned position, which is the whole subject of Act VIII.","Closed: read in full (ant-src-bergman-stuart-weddell-navigation). The workbooks are Canterbury Museum 2001.177.1 (1 Aug 1914 - 30 Aug 1915, covers the besetment) and 2001.177.20 (30 Aug 1915 - 13 May 1916, covers the sinking and boat journey) – both at Canterbury Museum, not Scott Polar Research Institute as an earlier, unverified note had it. Dated positions transcribed: 27 October 1915 abandonment, ""Landed on Floe 69°5′ S 51°32′ W""; 21 November 1915 sinking, 68°39′30″ S 52°26′30″ W. No coordinate is given for the moment of besetment itself (19 January 1915, see ant-gap-besetment-date) – the log simply reads ""Fast in pack"", repeated daily. ant-clm-fix-vs-interpolation can now be checked against real dated entries rather than waiting on the archive.",closed
ant-gap-drift-position-table,act_viii,endurance,locator,KAN-428|ant-clm-drift-track,No reviewed table of dated Endurance positions has been compiled from a primary or scholarly source.,A drift track drawn from a narrative is an illustration. The interactive claims to show recorded positions and must be able to cite each one.,"Compile positions from Worsley and Shackleton with page locators, then mark which are observed and which are inferred. The boat journey no longer waits on this: its fourteen noon positions are compiled from ant-src-bergman-caird-navigation with the log's own DR-or-observed label on each. What is left is the drift year, whose dated entries ant-src-bergman-stuart-weddell-navigation transcribes from workbook 2001.177.1 without this project having worked through them.",open
ant-gap-1874-vs-1910,act_vii,cumulative,edition_state,KAN-427,"The Greenwich record dates the ice chart 1910 and 1874, and a separate 1874 record exists; the two sheets have not been compared.","If the 1910 sheet revises an 1874 compilation, Act VII can show a synthesis being corrected rather than merely accumulating.","Closed. NTY288:1/2(1) is the 1874 compilation, published 1879, listing Cook through Ross plus Towson's iceberg papers. The 1910 sheet adds Scott 1901-4 and Shackleton 1908-9. The revision is demonstrable from the two titles.",closed
ant-gap-ghost-causation,act_vi,discovery_survey,scholarly_authority,KAN-426|ant-clm-mirage-causation,"No scholarship has been consulted that attributes any specific southern ghost feature to mirage, refraction or ice.","Attributing a cause to an error is a much stronger claim than recording that it was later removed, and the specification flags it as high risk.","Closed: a literature search for peer-reviewed work attributing a named southern ghost feature to mirage, refraction or ice misidentification found nothing citable. ant-clm-mirage-causation is source_checked with that finding recorded rather than left unreviewed; no causal statement is drafted. A specific attribution found later would reopen this rather than be added silently.",closed
ant-gap-headland-dates,cross_cutting,,scholarly_authority,KAN-421|KAN-425|KAN-427,"Headland's chronology has not been consulted, so no date in this programme has been checked against a reference work.",Dates are the spine of Acts V to VIII and are the easiest thing to get quietly wrong.,"Closed by declaration: no date in this programme has been checked against a reference chronology, and the essay says so rather than implying a check that did not happen. Every date in observations.csv and expedition-phases.csv comes from the expedition source that reports it or from the holding institution's catalogue record - a citable provenance, but not an independent one: a date transcribed correctly from a source that was itself wrong would pass every gate here. Headland's chronology remains the obvious control, and consulting it would upgrade these dates rather than unblock them, since nothing in Acts V to VIII is withheld for want of it. A disagreement found later between a transcribed date and the chronology reopens this row rather than being corrected silently.",closed
ant-gap-besetment-date,act_viii,endurance,locator,KAN-428|ant-clm-drift-track,Sources seen during the audit give the besetment of Endurance as both 18 and 19 January 1915.,"The drift dataset is dated throughout, and the first date in it is the one everything else is measured from.","Closed: Worsley's own log entry (1915: 64, transcribed in ant-src-bergman-stuart-weddell-navigation) reads ""Fast in pack"" on 19 January 1915, repeated daily until it becomes ""F. in P."" on 2 February and is eventually dropped. 19 January is the date the drift dataset should use; the 18 January reading is recorded as a disagreement rather than dropped, per this row's own instruction, since it is not what Worsley's log itself says.",closed
ant-gap-durville-charts,act_v,discovery_survey,object_identity,KAN-425|ant-clm-competing-1840,No Dumont d'Urville atlas plate has been identified.,"Wilkes, d'Urville and Ross were charting overlapping coast in the same season. With one of the three located, Act V can describe the competition but cannot show it.","Progress 2026-08-27: a Dumont d''Urville atlas plate is now identified. Gallica blocks this environment, but Heidelberg University Library''s own digitisation (ant-obj-durville-atlas, https://digi.ub.uni-heidelberg.de/diglit/dumont1846atlasbd2) is free and confirmed to hold plates 168-172 of the Atlas pittoresque, T. 2 – the range reported for the Terre Adelie landing sequence. What remains: read each plate''s printed caption to confirm subject and date (not yet transcribed), and locate the Atlas hydrographique, which is not among Heidelberg''s four digitised items and is what Act V actually needs for a coastline position to compare against Wilkes and Ross – the pittoresque plates are illustrated scenes, not charts.",in_progress
ant-gap-chart-contribution-basis,act_vii,cumulative,locator,KAN-427|ant-clm-cumulative-chart,"The voyage contributions recorded for the 1874 and 1910 charts come from the catalogue titles, not from reading the sheets.","A title says which voyages were compiled. It does not say what each contributed, or where on the sheet, which is what the annotated view needs.","Closed by declaration: the voyage lists on both charts are transcribed from their Greenwich catalogue titles and are cited as titles, not as readings of the sheets. That supports what ant-clm-cumulative-chart actually asserts - that the 1910 chart compiles eleven voyages between 1772 and 1909 - and it supports the revision the two titles demonstrate between them, the 1874 list ending at Ross and Towson's iceberg papers while the 1910 adds Scott 1901-4 and Shackleton 1908-9. What it does not support is any statement about what each voyage contributed, or where on the sheet it appears, and Act VII's annotated view is scoped to what the titles carry rather than showing a per-voyage attribution it cannot cite. This is bounded by ant-gap-rmg-rights and closes with it: reproductions of both sheets are exactly what has not been granted, so reading them is not available to this project. A grant from RMG Images reopens this row.",closed
ant-gap-atlante-epitome-attribution,act_iii,coronelli,object_identity,KAN-422|ant-clm-coronelli-depiction|ant-clm-coronelli-belief,"Resolved 2026-08-25. There was no conflict to resolve: both works carry polar material and the texts are different. The Epitome has a two-page chapter (Libro Secondo, Cap. IX, pp. 265-266); the Atlante Veneto carries a seven-page essay at printed pp. 70-76, which is the sequence Rumsey catalogues as 12186.100 to .107.","Act III can now cite each work for what it actually says, and the two can be compared rather than confused.",None. The remaining date inconsistency in Rumsey's own record is noted on the source row and does not affect the citation.,closed
ant-gap-coronelli-gores,act_iii,coronelli,object_identity,KAN-422|ant-clm-coronelli-depiction,"Resolved 2026-08-27. The object is Rumsey 10070.026, '(South Polar Calotte 26, Terrestrial Globe)', from Coronelli's 42-inch terrestrial globe of 1688 (publication 10070, originals at the State Library of New South Wales); the calotte has been examined at full IIIF resolution.","The globe decided the question as expected, and in the project's favour: the southern calotte carries no land at all, only graticule, a Magellan cartouche and the five climatic zones. Under the one constraint that forbids an empty space, Coronelli engraved no conjectured southern coast, which is the same judgement the Atlante Veneto essay makes in words at printed p. 75.","None for the object identity. Rights remain open: the images are supplied by the State Library of New South Wales and reproduction_use stays undetermined until their terms are read. Any lineage comparison with Fine, Mercator or Ortelius still waits on ant-gap-fine-mercator-ortelius-states.",closed
ant-gap-atlante-polar-leaves,act_iii,coronelli,translation,KAN-422|KAN-440|ant-clm-coronelli-belief,"Resolved 2026-08-27. All seven leaves of the Atlante Veneto polar essay have been read. 12186.102, .103 and .106 (printed pp. 71, 72 and 74-75) were examined from high-resolution captures supplied by Vlad Simion, each checked against the folio printed on it, completing the sequence begun with pp. 70, 73 and 76 on 2026-08-25.","The unread middle turns out not to be the middle of the southern argument. Pages 71-72 and 74 are northern throughout; the southern discourse begins mid-column on p. 75 under the heading 'TERRE AUSTRALI, OUERO ANTARTICHE' and ends on p. 76. The verdicts on p. 76 therefore rest on a page and a half that has now been read in full, and the ten ghost records taken from that page no longer need to be held at low confidence for want of the reasoning behind them.",None for the reading. The ten ghost rows carry medium confidence and stay at review_state raw until a person reviews them; ant-gap-coronelli-milanesi still holds the scholarly control.,closed
