feature_id,feature_type,name,latin_name,place_id,via_place_ids,geometry_provenance,confidence,valid_from,valid_to,citation,repository,source_url,rights_status,review_status,notes
rd-site-drobeta,site,Drobeta,Drobeta,plc-drobeta,,modern_reference,high,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207382,in_copyright,candidate,"The bridgehead of Trajan's bridge, and the one site here whose position is fixed by standing remains."
rd-site-dierna,site,Dierna,Dierna,plc-dierna,,modern_reference,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207380,in_copyright,candidate,"Danube crossing at Orșova; the modern town sits over it."
rd-site-romula,site,Romula,Romvla,plc-romula,,editorial_reconstruction,medium,106,271,"Tabula Imperii Romani L-35: Romula, Durostorum, Tomis (1969)","Academia Republicii Socialiste România",https://pleiades.stoa.org/places/207516,in_copyright,candidate,"Principal town of the Olt corridor, behind the limes Alutanus."
rd-site-sucidava,site,Sucidava,Svcidava,plc-sucidava,,editorial_reconstruction,medium,106,271,"Tabula Imperii Romani L-35: Romula, Durostorum, Tomis (1969)","Academia Republicii Socialiste România",https://pleiades.stoa.org/places/207550,in_copyright,candidate,"Danube crossing at the mouth of the Olt, and the last Roman position held here into the sixth century."
rd-road-lederata-tibiscum,road,Lederata road,Via a Lederata ad Tibiscvm,,plc-arcidava|plc-tibiscum,editorial_reconstruction,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21; Tabula Peutingeriana segm. VI-VII","Princeton University Press",https://pleiades.stoa.org/places/207362,in_copyright,candidate,"One of the two invasion routes of 101-106 and a road of the Peutinger table. The drawn line joins attested stations in order; it is not a surveyed alignment and the intermediate stations are not plotted."
rd-road-imperial,road,The imperial road,Via principalis Daciae,,plc-tibiscum|plc-ulpia-traiana-sarmizegetusa|plc-apulum|plc-potaissa|plc-napoca|plc-porolissum,editorial_reconstruction,medium,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207371,in_copyright,candidate,"The province's spine, from the capital to the northern command. The line joins attested stations in order and generalises every bend of the Mureș and Someș valleys it actually followed."
rd-road-mures,road,The Mureș valley road,Via ad Marisiam,,plc-micia|plc-apulum,editorial_reconstruction,low,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207429,in_copyright,candidate,"The customs road down the Mureș. Two stations only, so the drawn segment is a direction rather than a route."
rd-road-danube,road,The Danube bank road,Via ripae Danvvii,,plc-dierna|plc-drobeta|plc-sucidava,editorial_reconstruction,medium,106,271,"Tabula Imperii Romani L-35: Romula, Durostorum, Tomis (1969)","Academia Republicii Socialiste România",https://pleiades.stoa.org/places/207382,in_copyright,candidate,"The river road along the left bank. Drawn straight between crossings; the actual road follows the river, which this line does not."
rd-road-olt,road,The Olt corridor road,Via Alvtana,,plc-sucidava|plc-romula,editorial_reconstruction,medium,106,271,"Tabula Imperii Romani L-35: Romula, Durostorum, Tomis (1969)","Academia Republicii Socialiste România",https://pleiades.stoa.org/places/207516,in_copyright,candidate,"The road up the Olt behind the limes Alutanus, from the Danube crossing to the corridor's principal town."
rd-road-resculum,road,The Resculum road,Via a Napoca ad Resculvm,,plc-napoca|plc-bologa,editorial_reconstruction,low,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207506,in_copyright,candidate,"West from Napoca to the fort at Bologa and the passes beyond."
rd-limes-porolissensis,limes,Limes Porolissensis,Limes Porolissensis,,,editorial_reconstruction,low,106,271,"Talbert (ed.), Barrington Atlas of the Greek and Roman World (2000), map 21","Princeton University Press",https://pleiades.stoa.org/places/207487,in_copyright,candidate,"The north-western frontier system of forts, towers and earthworks. The line is a schematic corridor drawn to show where the frontier ran, not a mapped earthwork: no segment here has been digitised from a survey."
rd-limes-alutanus,limes,Limes Alutanus,Limes Alvtanvs,,,editorial_reconstruction,low,106,271,"Tabula Imperii Romani L-35: Romula, Durostorum, Tomis (1969)","Academia Republicii Socialiste România",https://pleiades.stoa.org/places/207550,in_copyright,candidate,"The Olt line, from the Danube to the Turnu Roșu pass. Schematic corridor, following the river's general course rather than any surveyed work."
rd-limes-transalutanus,limes,Limes Transalutanus,Limes Transalvtanvs,,,editorial_reconstruction,low,106,245,"Tabula Imperii Romani L-35: Romula, Durostorum, Tomis (1969)","Academia Republicii Socialiste România",https://pleiades.stoa.org/places/207516,in_copyright,candidate,"The forward line east of the Olt, abandoned in the mid-third century before the province itself was. Schematic corridor; its end date is earlier than the province's and is the reason this layer is filtered per feature rather than as a block."
