vocabulary,term,rank,label,definition,status,use_instead_of
source_family,mappa_mundi,,Mappa mundi,The world arranged on a theological or encyclopaedic schema.,approved,
source_family,portolan,,Portolan,Coastal charts drawn from sailing practice.,approved,
source_family,regional_print,,Regional print,Printed maps of one country or province by a local or commissioned hand.,approved,
source_family,antiquarian_reconstruction,,Antiquarian reconstruction,Early-modern restorations of ancient geography over contemporary outlines.,approved,
source_family,military_survey,,Military survey,Systematic state survey executed by army parties.,approved,
source_family,national_survey,,National survey,Civil survey published under a national authority.,approved,
source_family,digital_survey,,Digital survey,Continuous contemporary feeds with no single edition.,approved,
source_family,administrative_register,,Administrative register,"An official list of offices, units or holdings compiled for administration rather than for depiction.",approved,
source_family,numismatic,,Numismatic,"Coinage: the legend and type struck by a mint, catalogued as a series.",approved,
source_family,scholarly_edition,,Scholarly edition,"A modern critical edition or catalogue of a body of sources, cited as the reader's access to them.",approved,
source_family,narrative_history,,Narrative history,"An account of events written as a text rather than drawn, cited by the divisions the work itself carries.",approved,
source_family,modern_study,,Modern study,"A modern work of scholarship arguing a case about its sources, cited as an authority on them rather than as a witness to them.",approved,
source_family,legal_instrument,,Legal instrument,"An act, decree or ordinance issued by a state, whose text is itself the administrative event rather than a report of one.",approved,
locator_type,whole_work,,Whole work,The witness has no finer subdivision; the work itself is the maximum precision available.,approved,
capture_method,from_witness,,From witness,Read off the witness or its facsimile by the editor.,approved,
capture_method,from_edition,,From edition,Taken from a named scholarly edition of the witness.,approved,
capture_method,from_secondary,,From secondary,Taken from scholarship reporting the witness at second hand.,approved,
capture_method,from_local_display,,From local display,Taken from this project's own earlier presentation; never sufficient for review.,approved,
fate_class,translatio,,Translatio,The name is carried to a different referent.,approved,
fate_class,restitutio,,Restitutio,The name is restored to a referent it had formerly held.,approved,
fate_class,inventio,,Inventio,The name is coined for a referent that never carried it.,approved,
fate_class,applicatio,,Applicatio,The name is applied to a new administrative or institutional entity.,approved,
referent_kind,settlement,,Settlement,A single inhabited place.,approved,
referent_kind,region,,Region,A named territory.,approved,
referent_kind,polity,,Polity,A state or province as an institution.,approved,
referent_kind,ecclesiastical_province,,Ecclesiastical province,A church administrative division.,approved,
edge_kind,continuity,,Continuity,The later use continues the earlier one; requires evidence beyond the shared string.,approved,
edge_kind,derivation,,Derivation,The later form derives from the earlier by transmission.,approved,
edge_kind,revival,,Revival,The later use deliberately reaches back over a gap.,approved,
edge_kind,homonym_only,,Homonym only,"The same string, and no relationship claimed. The anti-continuity edge.",approved,
