claim_id,act,anchor,claim_family,proposition,claim_type,risk,primary_source_ids,secondary_source_ids,locator,review_status,confidence,map_object_ids,gis_dependency,disagreement_note,reviewer,review_date
ant-clm-wilkes-coast,act_vi,error-wilkes,ghost_geography,"Coast charted by Wilkes was later sailed through, and parts of his charted continent were removed.",fact,high,ant-src-wilkes-narrative-1844|ant-src-ross-voyage-1847,,pending,unreviewed,medium,ant-obj-wilkes-antarctic-chart,ant-ghost-wilkes-segment,"Widely repeated and partly true, but Wilkes was also right about a great deal of coast. Blocked by ant-gap-wilkes-sheets: without an exact sheet and position this is a story about Wilkes rather than a finding about a chart.",,
ant-clm-mirage-causation,act_vi,error-causation,ghost_geography,"Particular southern ghost features were caused by mirage, refraction or the misreading of ice as land.",interpretation,high,,,pending,source_checked,unresolved,,ant-ghost-wilkes-segment,"No source is held for any causal attribution (ant-gap-ghost-causation, closed). A literature search for peer-reviewed work attributing a named southern ghost feature to mirage, refraction or ice misidentification returned nothing citable: general polar literature describes how superior mirages and ice-covered tabular bergs can mimic land, but no source found names a mechanism for a specific removed feature in this corpus. Recording that a feature was later removed is safe; saying why it was seen is not, and the two stay apart in every feature panel. This claim is source_checked rather than reviewed because the check produced no locator to cite, not because none was attempted.",,
ant-clm-ghost-preserves-claimant,act_vi,error-method,ghost_geography,"A disproved feature remains historical evidence of what was reported and believed, and must retain its claimant and original evidence.",interpretation,standard,,ant-src-johnson-phantom-islands|ant-src-ramsay-no-longer-on-the-map,pending,unreviewed,high,,ant-ghost-wilkes-segment,"This is a methodological commitment of the programme rather than a historical claim, and is recorded so the data model can be checked against it.",,
ant-clm-cumulative-chart,act_vii,forma-synthesis,cumulative_synthesis,"The 1910 Admiralty ice chart compiles eleven voyages between 1772 and 1909 onto a single sheet, making cartography a layered archive.",fact,standard,ant-src-rmg-ice-chart-1910,ant-src-headland-chronology,RMG catalogue record for G288:1/2(2),source_checked,high,ant-obj-ukho-ice-chart-1910,,"The voyage list is transcribed from the Greenwich catalogue title, which is the strongest evidence in the programme so far. Note that the same record dates the object 1910 and 1874, so the sheet is itself a reissue.",,
ant-clm-synthesis-is-dated,act_vii,forma-revision,cumulative_synthesis,"A cumulative chart is a dated state of knowledge rather than a summary of everything known, and is itself revised.",interpretation,standard,ant-src-rmg-ice-chart-1910,,pending,unreviewed,medium,ant-obj-ukho-ice-chart-1910|ant-obj-ukho-ice-chart-1874,,"Supported in principle by the existence of an 1874 sheet with a shorter voyage list, but the two have not been compared (ant-gap-1874-vs-1910).",,
ant-clm-drift-track,act_viii,deriva-drift,endurance_navigation,"After Endurance was beset the ship and crew moved with the ice, so their geographical position changed without any navigational intent.",fact,standard,ant-src-shackleton-south-1919|ant-src-worsley-endurance-1931,ant-src-alexander-endurance,pending,unreviewed,high,ant-obj-worsley-drift-chart,ant-trk-endurance-drift,The proposition is secure; the track is not. No reviewed position table exists (ant-gap-drift-position-table).,,
ant-clm-fix-vs-interpolation,act_viii,deriva-fixes,endurance_navigation,"Worsley's recorded positions are a mixture of celestial fixes and dead reckoning, and the two carry different uncertainty.",fact,high,ant-src-worsley-endurance-1931|ant-src-worsley-boat-journey|ant-src-bergman-caird-navigation,ant-src-cotter-nautical-astronomy,"Bergman and others 2018, Appendix B (pp. 58-66); Bergman and Stuart 2018, pp. 67-98",unreviewed,medium,ant-obj-worsley-drift-chart,ant-obs-endurance-fix,"The distinction is the point of Act VIII and the data model already carries it. Half of the row-by-row assignment this claim asked for is now done, and it is the boat journey. ant-src-bergman-caird-navigation labels every noon position of the passage in its Appendix B, and all of them are in observations.csv with the class the log gives them: fourteen days, nineteen positions, five corrected by sights and the rest reckoned. The size of the difference is now in the data rather than in a caption - on 26 April 1916 the day's reckoned and observed noons lie about eighty nautical miles apart, and a test asserts it. The drift year is the half still unassigned. ant-gap-worsley-workings is closed - the workbooks are read (Canterbury Museum 2001.177.1 and .20, via ant-src-bergman-stuart-weddell-navigation) - and that transcription confirms what the classification will have to handle: dedicated celestial fixes resume once conditions allow (ex-meridian and time sights of stars from 24 June 1915), and the 27 October and 21 November 1915 positions are the kind of entry this claim needs to sort. Working through them is ant-gap-drift-position-table, and it is separate work from locating the workbooks, which is what this note previously blocked on. The claim's second half - that the two classes carry different uncertainty - stays unquantified on purpose: neither paper read so far publishes an error figure for these positions, so this project publishes none. The claim therefore stays unreviewed rather than being promoted on the strength of the leg that is finished.",,
ant-clm-worsley-precision,act_viii,deriva-precision,coordinate_uncertainty,Worsley's navigation on the James Caird passage was accurate to within a stated margin.,interpretation,high,ant-src-worsley-boat-journey,ant-src-cotter-nautical-astronomy,pending,unreviewed,unresolved,,,"Popular accounts attach precise figures to this passage. None is held here. Any margin the essay publishes must come from a technical source, not from the narrative literature.",,
ant-clm-wreck-distance,coda,coordinata-comparison,coordinate_uncertainty,The 2022 wreck location lies a short distance from the position Worsley recorded for the sinking in 1915.,fact,high,ant-src-hsm-93,ant-src-endurance22-report,pending,source_checked,unresolved,,,"The 2022 wreck position is now held from a citable source: Measure 18 (2022, amended 2024) gives 68°44′21″ S, 52°19′47″ W, 3,008m depth, protected radius 1500m (ant-src-hsm-93, verified). The 1915 Worsley position this claim would compare it against was not independently confirmed during this pass – ant-gap-worsley-workings has the archive identification (Scott Polar Research Institute MS 296; Canterbury Museum 2001.177) but not a transcribed position, so no comparison is drawn here. Secondary reporting seen during the audit conflated Worsley''s position with the wreck position and then quoted a separation between them, which cannot all be true; that conflation is exactly what this claim stays unresolved to avoid repeating.",,
ant-clm-coordinate-is-produced,coda,coordinata-lesson,coordinate_uncertainty,"A historical coordinate is a result produced by instruments, observations, assumptions and calculation, not a simple fact.",interpretation,standard,,ant-src-cotter-nautical-astronomy,pending,unreviewed,high,,,"The closing argument of the essay, and the one claim that does not depend on the wreck figures being resolved.",,
ant-clm-competing-1840,act_v,limen-1840,discovery_priority,"Three expeditions charted overlapping Antarctic coast within weeks of one another in the 1840 season, and their claims cannot all be reconciled.",historiographical_dispute,high,ant-src-wilkes-narrative-1844|ant-src-durville-voyage|ant-src-ross-voyage-1847,ant-src-gurney-below-convergence,pending,unreviewed,contested,ant-obj-wilkes-antarctic-chart|ant-obj-durville-atlas|ant-obj-ross-south-polar-chart,ant-seg-wilkes-land,"The best case Act V has, and the least well equipped: of the three charts only Wilkes's is located in a named holding, and its plate number is unknown. Note also that the cumulative ice charts date both Wilkes and d'Urville to 1839 while the narratives put the coast sightings in January 1840, which is a disagreement between a chart and its own sources and is worth showing rather than smoothing.",,
ant-clm-morrell-coast,act_vi,error-morrell,ghost_geography,"Coast reported by Morrell in the Weddell Sea in 1823 was later found to be open water, and Endurance drifted across part of it.",fact,high,ant-src-shackleton-south-1919,ant-src-gurney-below-convergence,pending,unreviewed,low,,ant-ghost-new-south-greenland,"The connection between Act VI and Act VIII, and the reason it is high risk: it is tempting because it is neat. Morrell's general reliability is separately disputed, which is a question about the man rather than about this feature, and the two must not be merged. Whether the drift track actually crosses the reported coast has not been checked against either position.",,
ant-clm-chart-revision,act_vii,forma-revision-evidence,cumulative_synthesis,The Admiralty ice chart compiled in 1874 lists voyages from Cook to Ross plus Towson's iceberg papers; the 1910 issue adds Scott and Shackleton.,fact,standard,ant-src-rmg-ice-chart-1874|ant-src-rmg-ice-chart-1910,,RMG catalogue titles for NTY288:1/2(1) and G288:1/2(2),source_checked,high,ant-obj-ukho-ice-chart-1874|ant-obj-ukho-ice-chart-1910,,"Transcribed from two catalogue titles read directly, which makes it the best-evidenced claim in the ledger. What it does not show is what each voyage contributed or where on the sheet; that needs the sheets themselves (ant-gap-chart-contribution-basis).",,
