source_id,act,claim_family,source_kind,short_title,title,creator,date_label,year,publication_context,repository,repository_url,persistent_id,edition_state,locator,rights_status,rights_basis_url,verification_state,review_status,role_in_essay,notes
ant-src-bulkeley-bellingshausen,act_v,discovery_priority,scholarly_monograph,"Bulkeley, Bellingshausen","Bellingshausen and the Russian Antarctic Expedition, 1819-21",Rip Bulkeley,2014,2014,Palgrave Macmillan,,https://link.springer.com/,,First edition,pending,in_copyright,https://link.springer.com/,unverified,candidate,The control on every priority statement the essay makes about 1820.,"Act V's most important secondary source, because the priority question is where this essay is most likely to repeat a national myth by accident."
ant-src-debenham-bellingshausen,act_v,discovery_priority,critical_edition,"Debenham, Voyage of Bellingshausen","The Voyage of Captain Bellingshausen to the Antarctic Seas, 1819-1821",Frank Debenham (ed.),1945,1945,"London: Hakluyt Society, two volumes",,https://www.hakluyt.com/,,"Hakluyt Society, Second Series 91-92",pending,in_copyright,https://www.hakluyt.com/,unverified,candidate,The English text through which the essay would read Bellingshausen's sightings.,"A translation is an interpretation. If Act V rests a priority claim on wording, the Russian text has to be consulted or the dependence on Debenham declared."
ant-src-weddell-voyage-1825,act_v,nineteenth_century_survey,expedition_narrative,"Weddell, Voyage towards the South Pole","A Voyage towards the South Pole, performed in the years 1822-24",James Weddell,1825,1825,"London: Longman, Hurst, Rees, Orme, Brown and Green",,https://www.rmg.co.uk/,,"First edition, 1825",pending,public_domain_text,https://www.rmg.co.uk/,unverified,candidate,"The open-water penetration of the sea later named for him, and a case where one season's ice is mistaken for a permanent condition.",Also a ghost-geography source: Weddell's reported islands need checking against later disproof.
ant-src-ross-voyage-1847,act_v,nineteenth_century_survey,expedition_narrative,"Ross, Voyage of Discovery and Research","A Voyage of Discovery and Research in the Southern and Antarctic Regions, during the years 1839-43",James Clark Ross,1847,1847,"London: John Murray, two volumes",,https://www.rmg.co.uk/,,"First edition, 1847",pending,public_domain_text,https://www.rmg.co.uk/,unverified,candidate,"The survey that converts scattered sightings into charted coast, and the disproof of several Wilkes positions.",Ross sailing over land Wilkes had charted is the cleanest single episode joining Act V to Act VI.
ant-src-wilkes-narrative-1844,act_v,discovery_priority,expedition_narrative,"Wilkes, Narrative","Narrative of the United States Exploring Expedition, during the years 1838-1842",Charles Wilkes,1844,1844,"Philadelphia: Lea and Blanchard, five volumes and atlas",,https://www.loc.gov/,,"First edition, 1844",pending,public_domain_text,https://www.loc.gov/,unverified,candidate,"A continental claim advanced with charted coast, parts of which were later sailed through.",Wilkes must not be presented simply as wrong. Which of his positions survived and which did not is exactly the distinction Act VI is for.
ant-src-gurney-below-convergence,act_v,discovery_priority,scholarly_monograph,"Gurney, Below the Convergence","Below the Convergence: Voyages toward Antarctica, 1699-1839",Alan Gurney,1997,1997,New York: W. W. Norton,,https://wwnorton.com/,,First edition,pending,in_copyright,https://wwnorton.com/,unverified,candidate,Narrative synthesis of the sealing and exploring voyages between Cook and Ross.,Useful for sequence and context; not authoritative enough to settle a priority claim on its own.
ant-src-ramsay-no-longer-on-the-map,act_vi,ghost_geography,scholarly_monograph,"Ramsay, No Longer on the Map",No Longer on the Map: Discovering Places That Never Were,Raymond H. Ramsay,1972,1972,New York: Viking Press,,https://archive.org/,,First edition,pending,in_copyright,https://archive.org/,unverified,candidate,A general treatment of cartographic features that were later removed.,"Popular rather than scholarly. Usable for orientation, not as the authority for any individual disproof."
ant-src-johnson-phantom-islands,act_vi,ghost_geography,scholarly_monograph,"Johnson, Phantom Islands",Phantom Islands of the Atlantic,Donald S. Johnson,1994,1994,Fredericton: Goose Lane Editions,,https://gooselane.com/,,First edition,pending,in_copyright,https://gooselane.com/,unverified,candidate,Method: how a reported island survives on charts and how it is eventually removed.,"Atlantic rather than Antarctic, and cited for the pattern rather than for any southern feature."
ant-src-headland-chronology,act_vi,ghost_geography,reference_work,"Headland, Chronology","A Chronology of Antarctic Exploration: A Synopsis of Events and Activities from the Earliest Times until the International Polar Years, 2007-09",Robert K. Headland,2009,2009,London: Bernard Quaritch,,https://www.quaritch.com/,,First edition,pending,in_copyright,https://www.quaritch.com/,unverified,candidate,The dating spine for Acts V to VII and the first check on any date this programme publishes.,The single most useful reference for the chronology tables. Every date in the dataset should eventually carry a Headland entry or a reason it does not.
ant-src-shackleton-south-1919,act_vii,endurance_navigation,expedition_narrative,"Shackleton, South","South: The Story of Shackleton's Last Expedition, 1914-1917",Ernest Shackleton,1919,1919,London: William Heinemann,,https://www.gutenberg.org/,,"First edition, 1919",pending,public_domain_text,https://www.gutenberg.org/,unverified,candidate,"The expedition's own account, including the plan Act VIII contrasts with the drift.","Ghost-written in part and shaped for publication. Positions taken from it are Shackleton's published positions, not Worsley's workings."
ant-src-worsley-boat-journey,act_viii,endurance_navigation,expedition_narrative,"Worsley, Shackleton's Boat Journey",Shackleton's Boat Journey,Frank Arthur Worsley,1940,1940,London: Hodder and Stoughton,,https://www.spri.cam.ac.uk/,,"First edition, 1940",pending,in_copyright,https://www.spri.cam.ac.uk/,unverified,candidate,The navigator's own account of the James Caird passage and its observational constraints.,"Written twenty-five years after the events. Where it conflicts with the contemporary log the log wins, and the essay must say which it is using."
ant-src-worsley-endurance-1931,act_viii,endurance_navigation,expedition_narrative,"Worsley, Endurance",Endurance: An Epic of Polar Adventure,Frank Arthur Worsley,1931,1931,London: Philip Allan,,https://www.spri.cam.ac.uk/,,"First edition, 1931",pending,in_copyright,https://www.spri.cam.ac.uk/,unverified,candidate,"Worsley's fuller account of the drift year, including the ship's loss.",The reported sinking position enters the literature through accounts of this kind; the coordinate's provenance is exactly what the Coda is about.
ant-src-alexander-endurance,act_viii,endurance_navigation,scholarly_monograph,"Alexander, The Endurance",The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,1998,1998,"New York: Alfred A. Knopf, with the Hurley photographs",,https://www.spri.cam.ac.uk/,,First edition,pending,in_copyright,https://www.spri.cam.ac.uk/,unverified,candidate,Reliable modern narrative and the standard account of the photographic record.,Narrative context only. No position in the dataset should rest on it.
ant-src-cotter-nautical-astronomy,act_viii,coordinate_uncertainty,scholarly_monograph,"Cotter, Nautical Astronomy",A History of Nautical Astronomy,Charles H. Cotter,1968,1968,London: Hollis and Carter,,https://archive.org/,,First edition,pending,in_copyright,https://archive.org/,unverified,candidate,"What a sight, a chronometer and a dead-reckoning run could and could not deliver in 1915.",The technical basis for the Coda's uncertainty argument. Needed before any error figure is published.
ant-src-endurance22-report,coda,coordinate_uncertainty,expedition_report,Endurance22,Endurance22 expedition: discovery of the wreck of Endurance,Falklands Maritime Heritage Trust,2022,2022,Expedition announcement and associated reporting,,https://endurance22.org/,,Web publication,pending,rights_review_required,https://endurance22.org/,unverified,candidate,The 2022 location and the search that produced it.,"The expedition site returned 403 to this audit, so nothing here is transcribed from it. The Coda's comparison of the 1915 and 2022 positions is unsupported until a citable published position and its uncertainty are read."
ant-src-hsm-93,coda,coordinate_uncertainty,catalogue_record,Antarctic Treaty HSM 93,Historic Site and Monument No. 93: Wreck of Endurance,Antarctic Treaty Consultative Meeting,2022,2022,"Antarctic Treaty Secretariat, HSM database",Antarctic Treaty Secretariat,https://www.ats.aq/,https://www.ats.aq/devph/en/apa-database/187,Database entry,pending,rights_review_required,https://www.ats.aq/,unverified,candidate,The designated coordinates as an official record rather than a news figure.,The preferred authority for the wreck position because it is a treaty instrument. The entry could not be retrieved during this audit and is logged as a gap.
ant-src-gregory-ell-historical-gis,cross_cutting,methodology,scholarly_monograph,"Gregory and Ell, Historical GIS","Historical GIS: Technologies, Methodologies and Scholarship",Ian N. Gregory and Paul S. Ell,2007,2007,Cambridge University Press,,https://www.cambridge.org/,,First edition,pending,in_copyright,https://www.cambridge.org/,unverified,candidate,Method reference for representing incomplete and uncertain historical geography.,Cited for the data model rather than for Antarctica.
ant-src-knowles-placing-history,cross_cutting,methodology,scholarly_monograph,"Knowles, Placing History","Placing History: How Maps, Spatial Data, and GIS Are Changing Historical Scholarship",Anne Kelly Knowles (ed.),2008,2008,Redlands: ESRI Press,,https://www.esri.com/,,First edition,pending,in_copyright,https://www.esri.com/,unverified,candidate,Precedent for presenting uncertainty as a finding rather than as a defect.,Supports the Ghost Geographies presentation pattern that ANT-7 is meant to generalise.
ant-src-rmg-ice-chart-1910,act_vii,cumulative_synthesis,catalogue_record,"RMG record, 1910 ice chart","Royal Museums Greenwich collections record for the southern hemisphere ice chart, G288:1/2(2)",Royal Museums Greenwich,accessed 2026-08-23,2026,Museum collections catalogue,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-540947,Online catalogue record,"Catalogue record rmgc-object-540947, fields title, object ID, creator, date, scale, credit line",rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-540947,verified,source_checked,The evidence for what the 1910 chart compiles and for its Crown copyright credit line.,"A catalogue record is a source in its own right and is recorded as one, because it is the only thing about this object that has actually been read. It is not a substitute for the sheet."
ant-src-rmg-cook-chart-1777,act_iv,cook_absence,catalogue_record,"RMG record, 1777 Cook chart","Royal Museums Greenwich collections record for the 1777 southern hemisphere chart, PAI4123",Royal Museums Greenwich,accessed 2026-08-23,2026,Museum collections catalogue,"National Maritime Museum, Greenwich, London",https://www.rmg.co.uk/,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,Online catalogue record,"Catalogue record rmgc-object-154063, fields title, accession number, engraver, date, medium, dimensions",rights_review_required,https://www.rmg.co.uk/collections/objects/rmgc-object-154063,verified,source_checked,"Establishes the chart's engraver, date and publication context, and that no reuse licence is stated.","Read during the ANT-1 audit. The record names Whitchurch as engraver, which the essay should not silently replace with Cook's name."
