place_id,proof,preferred_name,name_latin,name_greek,name_arabic,name_modern,name_medieval_vernacular,script_note,lon,lat,coordinate_basis,modern_country,role,valid_from,valid_to,review_state,review_status,notes
cru-plc-piacenza,matthew_paris,Piacenza,Placentia,,,Piacenza,Plesance,Latin only in the witness,9.69,45.05,modern_reference,Italy,itinerary_stage,1250,1259,normalized,candidate,On the road to the Apennine crossing.
cru-plc-bologna,matthew_paris,Bologna,Bononia,,,Bologna,Bouloigne,Latin only in the witness,11.34,44.49,modern_reference,Italy,itinerary_stage,1250,1259,normalized,candidate,Where the Via Emilia meets the road over the mountains.
cru-plc-rome,matthew_paris,Rome,Roma,,,Roma,Rome,Latin only in the witness,12.5,41.9,modern_reference,Italy,itinerary_stage,1250,1259,normalized,candidate,"The itinerary's rhetorical centre, whether or not a traveller stopped there."
cru-plc-otranto,matthew_paris,Otranto,Hydruntum,Hydrous,,Otranto,Otrante,Latin in the witness; the Greek form belongs to the port's own bilingual hinterland,18.49,40.15,modern_reference,Italy,itinerary_terminus,1250,1259,normalized,candidate,"Apulia and the sailing point for the eastern Mediterranean, where the road stops and the sea begins."
cru-plc-venice,fourth_crusade,Venice,Venetiae,,,Venezia,Venise,Latin in the instruments; the vernacular accounts use the French form,12.34,45.44,modern_reference,Italy,fleet_contract,1201,1204,normalized,candidate,"Where the fleet was contracted for a host that did not arrive, which is where the debt begins."
cru-plc-zara,fourth_crusade,Zara,Iadera,,,Zadar,Jadres,Latin in the instruments; the accounts use the French form,15.23,44.12,modern_reference,Croatia,diversion,1202,1202,normalized,candidate,"A Christian city taken by a crusade, and the first place the sequence stops being about its destination."
cru-plc-corfu,fourth_crusade,Corfu,Corcyra,Kerkyra,,Kerkyra,Corfou,Latin and Greek forms both current; the Greek is the island's own,19.92,39.62,modern_reference,Greece,assembly,1203,1203,normalized,candidate,Where the fleet gathered and the diversion to Constantinople was argued out.
cru-plc-durazzo,fourth_crusade,Durazzo,Dyrrachium,Dyrrachion,,Durres,Duras,Latin and Greek forms both current,19.45,41.32,modern_reference,Albania,landfall,1203,1203,normalized,candidate,"The Adriatic crossing point, and the first imperial city to submit."
cru-plc-constantinople,fourth_crusade,Constantinople,Constantinopolis,Konstantinoupolis,,Istanbul,Costantinoble,Greek is the city's own form and the Latin is the crusaders'; the transliteration is a reading aid and never replaces either,28.98,41.01,modern_reference,Turkiye,objective,1203,1204,normalized,candidate,"Taken twice: restored to an emperor in 1203, sacked in 1204. The sequence needs both, and one point cannot carry two events - the interaction distinguishes them by date, not by place."
cru-plc-adrianople,fourth_crusade,Adrianople,Hadrianopolis,Adrianoupolis,,Edirne,Andrenople,Latin and Greek forms both current,26.56,41.68,modern_reference,Turkiye,post_1204_control,1204,1205,normalized,candidate,"Where the partition on parchment met what could actually be held, within a year of the sack."
cru-plc-jerusalem,jerusalem,Jerusalem,Ierusalem,Hierosolyma,al-Quds,Jerusalem,Jherusalem,"Latin in the crusader chanceries, Greek in the Byzantine tradition and Arabic for the city's own population; all three romanisations here are reading aids and none replaces the form it stands for",35.23,31.78,modern_reference,Israel/Palestine (status disputed),sacred_centre,1099,1291,normalized,candidate,The destination the itinerary points at and never draws. modern_country is present-day administrative context for the coordinate and is not a claim about the city's status.
cru-plc-acre,jerusalem,Acre,Accon,Ptolemais,Akka,Akko,Acre,"Latin in the crusader documents, Greek from the Hellenistic name, Arabic for the port's own hinterland; the romanised forms are reading aids",35.07,32.92,modern_reference,Israel,levant_port,1104,1291,normalized,candidate,"The kingdom's working capital for most of the thirteenth century, and the port the descriptive geography of the Holy Land is organised from."
cru-plc-jaffa,jerusalem,Jaffa,Ioppe,Ioppe,Yafa,Yafo,Jaffe,The Latin and Greek forms are the same name in two traditions and the Arabic is the town's own; all are romanised here as reading aids,34.75,32.05,modern_reference,Israel,pilgrim_landfall,1099,1268,normalized,candidate,"Where a pilgrim coming by sea actually landed for Jerusalem, which is why the sacred centre has a working port attached to it at all."
cru-plc-alexandria,jerusalem,Alexandria,Alexandria,Alexandreia,al-Iskandariyya,Alexandria,Alexandre,"Latin and Greek forms both current in the sources, and the Arabic is the city's own; the romanisations are reading aids",29.92,31.20,modern_reference,Egypt,egyptian_port,1201,1321,normalized,candidate,"Egypt was the destination the 1201 treaty named and the trade the later recovery treatises proposed to cut. This record is the port in the network argument and is deliberately not attached to the intended-destination state, which stays non-spatial."
cru-plc-famagusta,jerusalem,Famagusta,Famagusta,Ammochostos,,Famagusta,Famagoste,"Greek is the island's own form and the Latin is the Lusignan chancery's; no Arabic form is recorded here because the port's working languages were Greek, French and Italian",33.94,35.12,modern_reference,Cyprus,successor_port,1291,1372,normalized,candidate,"Where the eastern traffic went after Acre fell, which is the network surviving the kingdom that gave it its name."
